pupal wing branch ; FBbt:00002982 has changed name to pupal wing tracheal branch. The old name is not a synonym.
pupal transverse connective 3 ; FBbt:00002962 has changed name to pupal tracheal transverse connective 3. The old name is not a synonym.
lateral F branch ; FBbt:00000362 has changed name to larval lateral F tracheal branch. The old name is not a synonym.
adult ganglionic branch ; FBbt:00003062 has changed name to adult ganglionic tracheal branch. The old name is not a synonym.
embryonic/larval dorsal branch 2 ; FBbt:00000267 has changed name to embryonic/larval dorsal tracheal branch 2. The old name is not a synonym.
larval dorsal anastomosis 5 ; FBbt:00000280 has changed name to larval dorsal tracheal anastomosis 5. The old name is not a synonym.
vesM neuron ; FBbt:00002046 has changed name to larval vesM neuron. The old name is a substring of a synonym: larval abdominal 8 vesM neuron
embryonic/larval ganglionic branch 3 ; FBbt:00000329 has changed name to embryonic/larval ganglionic tracheal branch 3. The old name is not a synonym.
larval dorsal anastomosis 8 ; FBbt:00000283 has changed name to larval dorsal tracheal anastomosis 8. The old name is not a synonym.
larval lateral multidendritic neuron ldaD ; FBbt:00002034 has changed name to larval thoracic lateral multidendritic neuron ldaD. The old name is not a synonym.
visceral branch 7 ; FBbt:00000301 has changed name to visceral tracheal branch 7. The old name is not a synonym.
pupal ventral branch 1 ; FBbt:00012994 has changed name to pupal ventral tracheal branch 1. The old name is not a synonym.
ventral anastomosis 0 ; FBbt:00000337 has changed name to larval ventral tracheal anastomosis 0. The old name is not a synonym.
prothoracic dorsal/lateral multidendritic neuron ; FBbt:00002075 has changed name to larval prothoracic multidendritic neuron. The old name is not a synonym.
dorsal trunk posterior branch 7 ; FBbt:00000230 has changed name to tracheal dorsal trunk posterior branch 7 primordium. The old name is not a synonym.
adult abdominal spiracular branch 5 ; FBbt:00003077 has changed name to adult abdominal spiracular tracheal branch 5. The old name is not a synonym.
embryonic/larval mesothoracic ventral sensory cluster ; FBbt:00007307 has changed name to larval mesothoracic ventral sensory cluster group. The old name is a substring of a synonym: embryonic/larval mesothoracic ventral sensory cluster group
embryonic/larval lateral trunk ; FBbt:00000233 has changed name to embryonic/larval tracheal lateral trunk. The old name is not a synonym.
embryonic/larval dorsal branch 7 ; FBbt:00000272 has changed name to embryonic/larval dorsal tracheal branch 7. The old name is not a synonym.
pupal transverse connective ; FBbt:00002959 has changed name to pupal tracheal transverse connective. The old name is not a synonym.
pupal metathoracic leg trachea ; FBbt:00002987 has changed name to pupal metathoracic leg tracheal branch. The old name is a synonym.
pupal transverse connective 1 ; FBbt:00002960 has changed name to pupal tracheal transverse connective 1. The old name is not a synonym.
lateral F branch 2 ; FBbt:00000363 has changed name to larval lateral F tracheal branch 2. The old name is not a synonym.
pupal transverse connective 4 ; FBbt:00002963 has changed name to pupal tracheal transverse connective 4. The old name is not a synonym.
metathoracic dorsal/lateral multidendritic neuron ; FBbt:00002153 has changed name to larval metathoracic multidendritic neuron. The old name is not a synonym.
lateral E branch 8 ; FBbt:00000359 has changed name to larval lateral E tracheal branch 8. The old name is not a synonym.
lateral E branch 9 ; FBbt:00000360 has changed name to larval lateral E tracheal branch 9. The old name is not a synonym.
lateral H branch 6 ; FBbt:00000387 has changed name to larval lateral H tracheal branch 6. The old name is not a synonym.
larval dorsal anastomosis 7 ; FBbt:00000282 has changed name to larval dorsal tracheal anastomosis 7. The old name is not a synonym.
visceral branch 5 ; FBbt:00000299 has changed name to visceral tracheal branch 5. The old name is not a synonym.
dorsal superficial trachea 7 ; FBbt:00003087 has changed name to adult dorsal superficial tracheal branch 7. The old name is not a synonym.
adult abdominal dorsal branch 8 ; FBbt:00003060 has changed name to adult abdominal dorsal tracheal branch 8. The old name is not a synonym.
adult abdominal dorsal branch 7 ; FBbt:00003059 has changed name to adult abdominal dorsal tracheal branch 7. The old name is not a synonym.
adult ganglionic branch 0 ; FBbt:00003063 has changed name to adult ganglionic tracheal branch 0. The old name is not a synonym.
lateral G branch 6 ; FBbt:00000377 has changed name to larval lateral G tracheal branch 6. The old name is not a synonym.
pupal ventral branch 2 ; FBbt:00012995 has changed name to pupal ventral tracheal branch 2. The old name is not a synonym.
pupal spiracular branch 2 ; FBbt:00002977 has changed name to pupal spiracular tracheal branch 2. The old name is not a synonym.
lateral H branch 2 ; FBbt:00000383 has changed name to larval lateral H tracheal branch 2. The old name is not a synonym.
pupal spiracular branch 5 ; FBbt:00002980 has changed name to pupal spiracular tracheal branch 5. The old name is not a synonym.
pupal cerebral anastomosis ; FBbt:00002967 has changed name to pupal cerebral tracheal anastomosis. The old name is not a synonym.
lateral F branch 6 ; FBbt:00000367 has changed name to larval lateral F tracheal branch 6. The old name is not a synonym.
lateral G branch 9 ; FBbt:00000380 has changed name to larval lateral G tracheal branch 9. The old name is not a synonym.
dorsal trunk posterior branch 6 ; FBbt:00000229 has changed name to tracheal dorsal trunk posterior branch 6 primordium. The old name is not a synonym.
pupal haltere branch ; FBbt:00002983 has changed name to pupal haltere tracheal branch. The old name is not a synonym.
lateral trunk anterior branch 4 ; FBbt:00000237 has changed name to tracheal lateral trunk anterior branch 4 primordium. The old name is not a synonym.
embryonic/larval mesothoracic lateral sensory cluster ; FBbt:00007303 has changed name to larval mesothoracic lateral sensory cluster. The old name is a synonym.
adult spiracular branch 2 ; FBbt:00003073 has changed name to adult spiracular tracheal branch 2. The old name is not a synonym.
lateral group branch precursor ; FBbt:00005597 has changed name to lateral group tracheal branch precursor. The old name is not a synonym.
embryonic/larval metathoracic dorsal sensory cluster ; FBbt:00007300 has changed name to larval metathoracic dorsal sensory cluster. The old name is a synonym.
visceral branch ; FBbt:00003070 has changed name to adult visceral tracheal branch. The old name is not a synonym.
pupal dorsal branch 4 ; FBbt:00002973 has changed name to pupal dorsal tracheal branch 4. The old name is not a synonym.
lateral trunk posterior branch 5 ; FBbt:00000249 has changed name to tracheal lateral trunk posterior branch 5 primordium. The old name is not a synonym.
lateral F branch 9 ; FBbt:00000370 has changed name to larval lateral F tracheal branch 9. The old name is not a synonym.
pupal dorsal branch 1 ; FBbt:00002970 has changed name to pupal dorsal tracheal branch 1. The old name is not a synonym.
embryonic/larval spiracular branch 2 ; FBbt:00000305 has changed name to embryonic/larval spiracular tracheal branch 2. The old name is not a synonym.
embryonic/larval ganglionic branch 6 ; FBbt:00000332 has changed name to embryonic/larval ganglionic tracheal branch 6. The old name is not a synonym.
adult abdominal spiracular branch 8 ; FBbt:00003080 has changed name to adult abdominal spiracular tracheal branch 8. The old name is not a synonym.
adult ventral anastomosis 0 ; FBbt:00003067 has changed name to adult ventral tracheal anastomosis 0. The old name is not a synonym.
embryonic/larval transverse connective 8 ; FBbt:00000262 has changed name to embryonic/larval tracheal transverse connective 8. The old name is not a synonym.
dorsal superficial trachea ; FBbt:00003083 has changed name to adult dorsal superficial tracheal branch. The old name is not a synonym.
dorsal trunk posterior branch 1 ; FBbt:00000224 has changed name to tracheal dorsal trunk posterior branch 1 primordium. The old name is not a synonym.
cerebral branch ; FBbt:00000395 has changed name to cerebral tracheal branch. The old name is not a synonym.
male abdominal tergite 8 ; FBbt:00005911 has been made obsolete. Suggested alternative term(s): epandrial anterodorsal phragma ; FBbt:00048382
embryonic/larval lateral group branch ; FBbt:00000351 has changed name to embryonic/larval lateral group tracheal branch. The old name is not a synonym.
pupal ventral anastomosis 2 ; FBbt:00002995 has changed name to pupal ventral tracheal anastomosis 2. The old name is not a synonym.
hindgut branch ; FBbt:00000405 has changed name to hindgut tracheal branch. The old name is not a synonym.
lateral trunk posterior branch 4 ; FBbt:00000248 has changed name to tracheal lateral trunk posterior branch 4 primordium. The old name is not a synonym.
adult ventral anastomosis ; FBbt:00003066 has changed name to adult ventral tracheal anastomosis. The old name is not a synonym.
metathoracic ventral multidendritic neuron ; FBbt:00002174 has changed name to metathoracic ventral' multidendritic neuron. The old name is not a synonym.
lateral F branch 5 ; FBbt:00000366 has changed name to larval lateral F tracheal branch 5. The old name is not a synonym.
pupal cerebral branch ; FBbt:00002966 has changed name to pupal cerebral tracheal branch. The old name is not a synonym.
lateral trunk posterior branch ; FBbt:00000244 has changed name to tracheal lateral trunk posterior branch primordium. The old name is not a synonym.
adult dorsal branch ; FBbt:00003051 has changed name to adult dorsal tracheal branch. The old name is not a synonym.
dorsal trunk posterior branch 5 ; FBbt:00000228 has changed name to tracheal dorsal trunk posterior branch 5 primordium. The old name is not a synonym.
embryonic/larval spiracular branch 7 ; FBbt:00000310 has changed name to embryonic/larval spiracular tracheal branch 7. The old name is not a synonym.
dorsal group branch 6 ; FBbt:00000291 has changed name to larval dorsal group tracheal branch 6. The old name is not a synonym.
embryonic/larval transverse connective 1 ; FBbt:00000255 has changed name to embryonic/larval tracheal transverse connective 1. The old name is not a synonym.
metathoracic leg trachea ; FBbt:00003095 has changed name to metathoracic leg tracheal branch. The old name is not a synonym.
embryonic/larval spiracular branch 10 ; FBbt:00000313 has changed name to embryonic/larval spiracular tracheal branch 10. The old name is not a synonym.
embryonic/larval T2/3 ventral sensory cluster ; FBbt:00007400 has changed name to larval thoracic ventral sensory cluster group. The old name is not a synonym.
lateral trunk anterior branch 3 ; FBbt:00000236 has changed name to tracheal lateral trunk anterior branch 3 primordium. The old name is not a synonym.
fat body branch 5 ; FBbt:00000345 has changed name to larval fat body tracheal branch 5. The old name is not a synonym.
dorsal group branch precursor ; FBbt:00005585 has changed name to dorsal group tracheal branch precursor. The old name is not a synonym.
dorsal superficial trachea 6 ; FBbt:00003086 has changed name to adult dorsal superficial tracheal branch 6. The old name is not a synonym.
pupal spiracular branch 1 ; FBbt:00002976 has changed name to pupal spiracular tracheal branch 1. The old name is not a synonym.
ventral superficial trachea 9 ; FBbt:00111003 has changed name to adult ventral superficial tracheal branch 9. The old name is not a synonym.
lateral E branch 3 ; FBbt:00000354 has changed name to larval lateral E tracheal branch 3. The old name is not a synonym.
embryonic/larval dorsal trunk ; FBbt:00000212 has changed name to embryonic/larval tracheal dorsal trunk. The old name is not a synonym.
ventral superficial trachea 6 ; FBbt:00111000 has changed name to adult ventral superficial tracheal branch 6. The old name is not a synonym.
dorsal trunk anterior branch 9 ; FBbt:00000221 has changed name to tracheal dorsal trunk anterior branch 9 primordium. The old name is not a synonym.
adult abdominal dorsal branch 6 ; FBbt:00003058 has changed name to adult abdominal dorsal tracheal branch 6. The old name is not a synonym.
visceral branch 4 ; FBbt:00000298 has changed name to visceral tracheal branch 4. The old name is not a synonym.
lateral G branch 5 ; FBbt:00000376 has changed name to larval lateral G tracheal branch 5. The old name is not a synonym.
adult abdominal spiracular branch 4 ; FBbt:00003076 has changed name to adult abdominal spiracular tracheal branch 4. The old name is not a synonym.
embryonic/larval prothoracic ventral sensory cluster ; FBbt:00007306 has changed name to larval prothoracic ventral sensory cluster group. The old name is a substring of a synonym: embryonic/larval prothoracic ventral sensory cluster group
lateral E branch 7 ; FBbt:00000358 has changed name to larval lateral E tracheal branch 7. The old name is not a synonym.
pupal lateral trunk ; FBbt:00002958 has changed name to pupal tracheal lateral trunk. The old name is not a synonym.
adult abdominal dorsal branch ; FBbt:00003054 has changed name to adult abdominal dorsal tracheal branch. The old name is not a synonym.
embryonic/larval ganglionic branch ; FBbt:00000325 has changed name to embryonic/larval ganglionic tracheal branch. The old name is not a synonym.
dorsal group branch 9 ; FBbt:00000294 has changed name to larval dorsal group tracheal branch 9. The old name is not a synonym.
lateral H branch 5 ; FBbt:00000386 has changed name to larval lateral H tracheal branch 5. The old name is not a synonym.
lateral trunk anterior branch 8 ; FBbt:00000241 has changed name to tracheal lateral trunk anterior branch 8 primordium. The old name is not a synonym.
adult transverse connective 4 ; FBbt:00003045 has changed name to adult tracheal transverse connective 4. The old name is not a synonym.
pupal mesothoracic leg trachea ; FBbt:00002986 has changed name to pupal mesothoracic leg tracheal branch. The old name is a synonym.
fat body branch 4 ; FBbt:00000344 has changed name to larval fat body tracheal branch 4. The old name is not a synonym.
adult fruitless pMP-e (male) neuron ; FBbt:00110621 has changed name to adult fruitless P1 (male) neuron. The old name is a synonym.
embryonic/larval dorsal branch 1 ; FBbt:00000266 has changed name to embryonic/larval dorsal tracheal branch 1. The old name is not a synonym.
adult transverse connective 7 ; FBbt:00003048 has changed name to adult tracheal transverse connective 7. The old name is not a synonym.
tracheal branch of Tr10 ; FBbt:00000401 has changed name to larval tracheal branch of Tr10. The old name is not a synonym.
pupal ganglionic branch 2 ; FBbt:00002991 has changed name to pupal ganglionic tracheal branch 2. The old name is not a synonym.
embryonic/larval ventral anastomosis ; FBbt:00000336 has changed name to embryonic/larval ventral tracheal anastomosis. The old name is not a synonym.
lateral E branch 4 ; FBbt:00000355 has changed name to larval lateral E tracheal branch 4. The old name is not a synonym.
dorsal trunk anterior branch ; FBbt:00000213 has changed name to tracheal dorsal trunk anterior branch primordium. The old name is not a synonym.
lateral trunk primordium ; FBbt:00005578 has changed name to tracheal lateral trunk primordium. The old name is not a synonym.
ventral superficial trachea 8 ; FBbt:00111002 has changed name to adult ventral superficial tracheal branch 8. The old name is not a synonym.
embryonic/larval ganglionic branch 2 ; FBbt:00000328 has changed name to embryonic/larval ganglionic tracheal branch 2. The old name is not a synonym.
lateral H branch 10 ; FBbt:00000391 has changed name to larval lateral H tracheal branch 10. The old name is not a synonym.
abdominal ventral multidendritic neuron ; FBbt:00002516 has changed name to larval abdominal ventral cluster group multidendritic neuron. The old name is a synonym.
adult haltere branch ; FBbt:00003091 has changed name to adult haltere tracheal branch. The old name is not a synonym.
lateral trunk posterior branch 7 ; FBbt:00000251 has changed name to tracheal lateral trunk posterior branch 7 primordium. The old name is not a synonym.
secondary trachea ; FBbt:00007471 has changed name to secondary tracheal branch. The old name is a synonym.
dorsal group branch 10 ; FBbt:00000295 has changed name to larval dorsal group tracheal branch 10. The old name is not a synonym.
adult abdominal dorsal branch 3 ; FBbt:00003055 has changed name to adult abdominal dorsal tracheal branch 3. The old name is not a synonym.
fat body branch 8 ; FBbt:00000348 has changed name to larval fat body tracheal branch 8. The old name is not a synonym.
adult transverse connective 3 ; FBbt:00003044 has changed name to adult tracheal transverse connective 3. The old name is not a synonym.
dorsal trunk primordium ; FBbt:00017010 has changed name to tracheal dorsal trunk primordium. The old name is not a synonym.
dorsal trunk posterior branch 2 ; FBbt:00000225 has changed name to tracheal dorsal trunk posterior branch 2 primordium. The old name is not a synonym.
dorsal superficial trachea 3 ; FBbt:00110996 has changed name to adult dorsal superficial tracheal branch 3. The old name is not a synonym.
pharyngeal branch ; FBbt:00000394 has changed name to pharyngeal tracheal branch. The old name is not a synonym.
abdominal ventral multidendritic neuron vtd1 ; FBbt:00002573 has changed name to larval abdominal ventral multidendritic neuron v'td1. The old name is a substring of a synonym: larval abdominal ventral multidendritic neuron vtd1
dorsal trunk anterior branch 5 ; FBbt:00000217 has changed name to tracheal dorsal trunk anterior branch 5 primordium. The old name is not a synonym.
maxillary palpus trachea ; FBbt:00003098 has changed name to adult maxillary palpus tracheal branch. The old name is a synonym.
embryonic/larval transverse connective 4 ; FBbt:00000258 has changed name to embryonic/larval tracheal transverse connective 4. The old name is not a synonym.
embryonic/larval thoracic/abdominal lateral sensory cluster ; FBbt:00007297 has changed name to larval lateral sensory cluster. The old name is a synonym.
caudal branch ; FBbt:00000404 has changed name to caudal tracheal branch. The old name is not a synonym.
pupal ventral anastomosis 1 ; FBbt:00002994 has changed name to pupal ventral tracheal anastomosis 1. The old name is not a synonym.
tracheal air sac ; FBbt:00003101 has changed name to adult tracheal air sac. The old name is not a synonym.
abdominal 8 vesM neuron ; FBbt:00002626 has been made obsolete. Suggested alternative term(s): larval vesM neuron ; FBbt:00002046
dorsal branch primordium ; FBbt:00005581 has changed name to dorsal tracheal branch primordium. The old name is not a synonym.
fat body branch 1 ; FBbt:00000341 has changed name to larval fat body tracheal branch 1. The old name is not a synonym.
dorsal group branch 1 ; FBbt:00000286 has changed name to larval dorsal group tracheal branch 1. The old name is not a synonym.
adult transverse connective ; FBbt:00003041 has changed name to adult tracheal transverse connective. The old name is not a synonym.
embryonic/larval spiracular branch 6 ; FBbt:00000309 has changed name to embryonic/larval spiracular tracheal branch 6. The old name is not a synonym.
lateral trunk posterior branch 1 ; FBbt:00000245 has changed name to tracheal lateral trunk posterior branch 1 primordium. The old name is not a synonym.
dorsal cephalic branch ; FBbt:00000398 has changed name to dorsal cephalic tracheal branch. The old name is not a synonym.
embryonic/larval dorsal anastomosis ; FBbt:00000276 has changed name to embryonic/larval dorsal tracheal anastomosis. The old name is not a synonym.
embryonic/larval spiracular branch 9 ; FBbt:00000312 has changed name to embryonic/larval spiracular tracheal branch 9. The old name is not a synonym.
mesothoracic leg trachea ; FBbt:00003094 has changed name to mesothoracic leg tracheal branch. The old name is not a synonym.
embryonic/larval transverse connective ; FBbt:00000254 has changed name to embryonic/larval tracheal transverse connective. The old name is not a synonym.
ventral anastomosis 2 ; FBbt:00000339 has changed name to larval ventral tracheal anastomosis 2. The old name is not a synonym.
adult transverse connective 6 ; FBbt:00003047 has changed name to adult tracheal transverse connective 6. The old name is not a synonym.
abdominal dorsal/lateral multidendritic neuron ; FBbt:00002385 has changed name to larval abdominal multidendritic neuron. The old name is not a synonym.
lateral trunk anterior branch 9 ; FBbt:00000242 has changed name to tracheal lateral trunk anterior branch 9 primordium. The old name is not a synonym.
lateral trunk posterior branch 9 ; FBbt:00000253 has changed name to tracheal lateral trunk posterior branch 9 primordium. The old name is not a synonym.
prothoracic leg trachea ; FBbt:00003093 has changed name to prothoracic leg tracheal branch. The old name is not a synonym.
embryonic/larval ganglionic branch 1 ; FBbt:00000327 has changed name to embryonic/larval ganglionic tracheal branch 1. The old name is not a synonym.
lateral trunk posterior branch 6 ; FBbt:00000250 has changed name to tracheal lateral trunk posterior branch 6 primordium. The old name is not a synonym.
adult wing branch ; FBbt:00003090 has changed name to adult wing tracheal branch. The old name is not a synonym.
embryonic/larval dorsal branch 4 ; FBbt:00000269 has changed name to embryonic/larval dorsal tracheal branch 4. The old name is not a synonym.
larval dorsal anastomosis 1 ; FBbt:00007473 has changed name to larval dorsal tracheal anastomosis 1. The old name is not a synonym.
lateral H branch 9 ; FBbt:00000390 has changed name to larval lateral H tracheal branch 9. The old name is not a synonym.
embryonic/larval trachea ; FBbt:00000211 has changed name to embryonic/larval tracheal section. The old name is a synonym.
dorsal trunk anterior branch 10 ; FBbt:00000222 has changed name to tracheal dorsal trunk anterior branch 10 primordium. The old name is not a synonym.
caudal-hindgut branch ; FBbt:00000403 has changed name to caudal-hindgut tracheal branch. The old name is not a synonym.
pupal ventral anastomosis 0 ; FBbt:00002993 has changed name to pupal ventral tracheal anastomosis 0. The old name is not a synonym.
cerebropharyngeal branch ; FBbt:00000393 has changed name to cerebropharyngeal tracheal branch. The old name is not a synonym.
pupal ganglionic branch 1 ; FBbt:00002990 has changed name to pupal ganglionic tracheal branch 1. The old name is not a synonym.
ventral cephalic branch ; FBbt:00000400 has changed name to ventral cephalic tracheal branch. The old name is not a synonym.
fat body branch 7 ; FBbt:00000347 has changed name to larval fat body tracheal branch 7. The old name is not a synonym.
adult fruitless pMP-e (male) lineage clone ; FBbt:00110620 has changed name to adult fruitless P1 (male) lineage clone. The old name is a synonym.
adult dorsal trunk ; FBbt:00003039 has changed name to adult tracheal dorsal trunk. The old name is not a synonym.
adult prothoracic dorsal branch ; FBbt:00003052 has changed name to adult prothoracic dorsal tracheal branch. The old name is not a synonym.
embryonic/larval mesothoracic dorsal sensory cluster ; FBbt:00007298 has changed name to larval mesothoracic dorsal sensory cluster. The old name is a synonym.
prothoracic ventral multidendritic neuron ; FBbt:00002098 has changed name to prothoracic ventral' multidendritic neuron. The old name is not a synonym.
dorsal group branch 7 ; FBbt:00000292 has changed name to larval dorsal group tracheal branch 7. The old name is not a synonym.
dorsal group branch 4 ; FBbt:00000289 has changed name to larval dorsal group tracheal branch 4. The old name is not a synonym.
labial trachea ; FBbt:00003097 has changed name to adult labial tracheal branch. The old name is a synonym.
dorsal trunk anterior branch 6 ; FBbt:00000218 has changed name to tracheal dorsal trunk anterior branch 6 primordium. The old name is not a synonym.
embryonic/larval transverse connective 3 ; FBbt:00000257 has changed name to embryonic/larval tracheal transverse connective 3. The old name is not a synonym.
ventral superficial trachea 5 ; FBbt:00110999 has changed name to adult ventral superficial tracheal branch 5. The old name is not a synonym.
trachea ; FBbt:00005043 has changed name to tracheal section. The old name is a synonym.
adult transverse connective 2 ; FBbt:00003043 has changed name to adult tracheal transverse connective 2. The old name is not a synonym.
des3+1+1 neuron ; FBbt:00002009 has been made obsolete. Suggested alternative term(s): larval ASO neuron ; FBbt:00002625
abdominal ventral multidendritic neuron vtd2 ; FBbt:00002581 has changed name to larval abdominal ventral multidendritic neuron v'td2. The old name is a substring of a synonym: larval abdominal ventral multidendritic neuron vtd2
adult lateral trunk ; FBbt:00003040 has changed name to adult tracheal lateral trunk. The old name is not a synonym.
larval dorsal anastomosis 4 ; FBbt:00000279 has changed name to larval dorsal tracheal anastomosis 4. The old name is not a synonym.
embryonic/larval fat body branch ; FBbt:00000340 has changed name to embryonic/larval fat body tracheal branch. The old name is not a synonym.
transverse connective primordium ; FBbt:00005580 has changed name to tracheal transverse connective primordium. The old name is not a synonym.
cibarial muscle trachea ; FBbt:00003100 has changed name to adult cibarial muscle tracheal branch. The old name is a synonym.
fat body branch 3 ; FBbt:00000343 has changed name to larval fat body tracheal branch 3. The old name is not a synonym.
embryonic/larval spiracular branch 3 ; FBbt:00000306 has changed name to embryonic/larval spiracular tracheal branch 3. The old name is not a synonym.
lateral E branch ; FBbt:00000352 has changed name to larval lateral E tracheal branch. The old name is not a synonym.
cephalic branch ; FBbt:00000397 has changed name to cephalic tracheal branch. The old name is not a synonym.
dorsal trunk anterior branch 2 ; FBbt:00000214 has changed name to tracheal dorsal trunk anterior branch 2 primordium. The old name is not a synonym.
primary segmental branch primordium ; FBbt:00017011 has changed name to primary segmental tracheal branch primordium. The old name is not a synonym.
primary segmental branch ; FBbt:10000445 has changed name to primary segmental tracheal branch. The old name is not a synonym.
dorsal group branch 8 ; FBbt:00000293 has changed name to larval dorsal group tracheal branch 8. The old name is not a synonym.
adult metathoracic dorsal branch ; FBbt:00003053 has changed name to adult metathoracic dorsal tracheal branch. The old name is not a synonym.
adult ventral anastomosis 2 ; FBbt:00003069 has changed name to adult ventral tracheal anastomosis 2. The old name is not a synonym.
dorsal group branch 5 ; FBbt:00000290 has changed name to larval dorsal group tracheal branch 5. The old name is not a synonym.
embryonic/larval spiracular branch 8 ; FBbt:00000311 has changed name to embryonic/larval spiracular tracheal branch 8. The old name is not a synonym.
adult transverse connective 1 ; FBbt:00003042 has changed name to adult tracheal transverse connective 1. The old name is not a synonym.
lateral trunk posterior branch 3 ; FBbt:00000247 has changed name to tracheal lateral trunk posterior branch 3 primordium. The old name is not a synonym.
embryonic secondary branch ; FBbt:10005220 has been made obsolete. Suggested alternative term(s): secondary tracheal branch ; FBbt:00007471
fat body branch 2 ; FBbt:00000342 has changed name to larval fat body tracheal branch 2. The old name is not a synonym.
lateral trunk anterior branch 6 ; FBbt:00000239 has changed name to tracheal lateral trunk anterior branch 6 primordium. The old name is not a synonym.
dorsal trunk posterior branch 4 ; FBbt:00000227 has changed name to tracheal dorsal trunk posterior branch 4 primordium. The old name is not a synonym.
fat body branch 10 ; FBbt:00000350 has changed name to larval fat body tracheal branch 10. The old name is not a synonym.
lateral F branch 8 ; FBbt:00000369 has changed name to larval lateral F tracheal branch 8. The old name is not a synonym.
prothoracic v''esA neuron ; FBbt:00002095 has been made obsolete. Suggested alternative term(s): v''esA neuron ; FBbt:00002052
pupal dorsal branch ; FBbt:00002969 has changed name to pupal dorsal tracheal branch. The old name is not a synonym.
embryonic/larval thoracic/abdominal ventral sensory cluster ; FBbt:00007295 has changed name to larval ventral sensory cluster group. The old name is a synonym.
lateral E branch 2 ; FBbt:00000353 has changed name to larval lateral E tracheal branch 2. The old name is not a synonym.
dorsal trunk anterior branch 3 ; FBbt:00000215 has changed name to tracheal dorsal trunk anterior branch 3 primordium. The old name is not a synonym.
lateral trunk anterior branch 10 ; FBbt:00000243 has changed name to tracheal lateral trunk anterior branch 10 primordium. The old name is not a synonym.
