defined_class	class_label	muscle_cell	muscle_cell_label	other_muscle	other_muscle_label	neuroblast	neuroblast_label	nerve	nerve_label
FBbt:00110225	DO1 motor neuron	FBbt:00110226	muscle cell of dorsal oblique muscle 1			FBbt:00006035	ganglion mother cell GMC7-1a		
FBbt:00110228	DO2 motor neuron	FBbt:00110229	muscle cell of dorsal oblique muscle 2			FBbt:00006036	ganglion mother cell GMC7-1b		
FBbt:00110230	A1-7 DO2 motor neuron	FBbt:00000610	muscle cell of A1-7 dorsal oblique muscle 2					FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110231	DA3 motor neuron	FBbt:00110232	muscle cell of dorsal acute muscle 3			FBbt:00006039	ganglion mother cell GMC7-1e		
FBbt:00110233	A1-7 DA3 motor neuron	FBbt:00000593	muscle cell of A1-7 dorsal acute muscle 3					FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110234	LL1 motor neuron	FBbt:00000481	muscle cell of lateral longitudinal muscle 1			FBbt:00006040	ganglion mother cell GMC7-1f		
FBbt:00110235	A1-7 LL1 motor neuron	FBbt:00000600	muscle cell of A1-7 lateral longitudinal muscle 1					FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110237	A1-7 DO3 motor neuron	FBbt:00000611	muscle cell of A1-7 dorsal oblique muscle 3			FBbt:00001388	neuroblast NB3-2	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110238	DO4 motor neuron	FBbt:00110239	muscle cell of dorsal oblique muscle 4						
FBbt:00110240	A1-7 DO4 motor neuron	FBbt:00000612	muscle cell of A1-7 dorsal oblique muscle 4			FBbt:00001388	neuroblast NB3-2	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110241	DO5 motor neuron	FBbt:00000613	muscle cell of A1-7 dorsal oblique muscle 5			FBbt:00001388	neuroblast NB3-2	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110252	VA1 motor neuron	FBbt:00110253	muscle cell of ventral acute muscle 1						
FBbt:00110254	A1-7 VA1 motor neuron	FBbt:00000595	muscle cell of A1-7 ventral acute muscle 1					FBbt:00007329|FBbt:00110212|FBbt:00002197	larval segmental nerve branch SNc of A1-7|larval segmental nerve root of A1-7|larval abdominal segmental nerve
FBbt:00110255	VA2 motor neuron	FBbt:00110256	muscle cell of ventral acute muscle 2					FBbt:00110212|FBbt:00007329|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNc of A1-7|larval abdominal segmental nerve
FBbt:00110258	VA3 motor neuron	FBbt:00000597	muscle cell of ventral acute muscle 3					FBbt:00110212|FBbt:00007329|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNc of A1-7|larval abdominal segmental nerve
FBbt:00110261	larval LT1/LT2 motor neuron	FBbt:00110262	muscle cell of lateral transverse muscle 1	FBbt:00110265	muscle cell of lateral transverse muscle 2	FBbt:00001385	neuroblast NB2-2	FBbt:00002037	larval segmental nerve
FBbt:00110263	larval A1-7-innervating LT1/LT2 motor neuron	FBbt:00000627	muscle cell of A1-7 lateral transverse muscle 1	FBbt:00000628	muscle cell of A1-7 lateral transverse muscle 2	FBbt:00001387	abdominal neuroblast NB2-2	FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
FBbt:00110270	larval LT1/LT2 motor neuron	FBbt:00110271	muscle cell of lateral transverse muscle 4	FBbt:00110268	muscle cell of lateral transverse muscle 3	FBbt:00001388	neuroblast NB3-2	FBbt:00002037	larval segmental nerve
FBbt:00110272	larval A1-7-innervating LT1/LT2 motor neuron	FBbt:00000630	muscle cell of A1-7 lateral transverse muscle 4	FBbt:00000629	muscle cell of A1-7 lateral transverse muscle 3	FBbt:00052425	abdominal neuroblast NB3-2	FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
FBbt:00110273	LO1 motor neuron	FBbt:00000468	muscle cell of lateral oblique muscle 1						
FBbt:00110274	A1-7 LO1 motor neuron	FBbt:00000615	muscle cell of A1-7 lateral oblique muscle 1			FBbt:00001422	neuroblast NB3-3	FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
FBbt:00110275	SBM motor neuron	FBbt:00000483	segment border muscle cell						
FBbt:00110276	A1-7 SBM motor neuron	FBbt:00000606	A1-7 segment border muscle cell			FBbt:00001411	neuroblast NB2-4	FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
FBbt:00110277	DT1 motor neuron	FBbt:00000471	dorsal transverse muscle cell						
FBbt:00110278	A1-7 DT1 motor neuron	FBbt:00000625	muscle cell of A1-7 dorsal transverse muscle 1			FBbt:00001388	neuroblast NB3-2	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110279	VT1 motor neuron	FBbt:00110280	muscle cell of ventral transverse muscle 1			FBbt:00001397	neuroblast NB4-1	FBbt:00001996|FBbt:00110306	larval transverse nerve root|larval transverse nerve
FBbt:00110282	VO3 motor neuron	FBbt:00110283	muscle cell of ventral oblique muscle 3					FBbt:00001997	larval intersegmental nerve
FBbt:00110284	A1-7 VO3 motor neuron	FBbt:00000619	muscle cell of A1-7 ventral oblique muscle 3			FBbt:00001389	neuroblast NB4-2	FBbt:00110210|FBbt:00007326|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00110289	VO4-6 motor neuron	FBbt:00000622	muscle cell of ventral oblique muscle 6	FBbt:00000620|FBbt:00000621	muscle cell of ventral oblique muscle 4|muscle cell of ventral oblique muscle 5	FBbt:00006038	ganglion mother cell GMC7-1d	FBbt:00110210|FBbt:00002319|FBbt:00007327	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve|larval intersegmental nerve branch ISNd of A1-7
FBbt:00110292	A1-7 VL2 motor neuron	FBbt:00000603	muscle cell of A1-7 ventral longitudinal muscle 2			FBbt:00001394	neuroblast NB3-1	FBbt:00007326|FBbt:00002319	larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
