defined_class	defined_class_label	muscle	muscle_label
FBbt:00003366	muscle cell of dorsal longitudinal indirect flight muscle 45d	FBbt:00058887	dorsal longitudinal indirect flight muscle 45d
FBbt:00003367	muscle cell of dorsal longitudinal indirect flight muscle 45e	FBbt:00058888	dorsal longitudinal indirect flight muscle 45e
FBbt:00003368	muscle cell of dorsal longitudinal indirect flight muscle 45f	FBbt:00058889	dorsal longitudinal indirect flight muscle 45f
FBbt:00003369	lateral oblique dorsal muscle cell	FBbt:00058890	lateral oblique dorsal muscle
FBbt:00003370	muscle cell of lateral oblique dorsal muscle 46a	FBbt:00058891	lateral oblique dorsal muscle 46a
FBbt:00003371	muscle cell of lateral oblique dorsal muscle 46b	FBbt:00058892	lateral oblique dorsal muscle 46b
FBbt:00003372	tergosternal muscle cell	FBbt:00058893	tergosternal muscle
FBbt:00003373	muscle cell of tergosternal muscle 47a	FBbt:00058894	tergosternal muscle 47a
FBbt:00003374	muscle cell of tergosternal muscle 47b	FBbt:00058895	tergosternal muscle 47b
FBbt:00003375	muscle cell of tergosternal muscle 47c	FBbt:00058896	tergosternal muscle 47c
FBbt:00003376	coxal tergal remotor muscle cell	FBbt:00058897	coxal tergal remotor muscle
FBbt:00003377	muscle cell of coxal tergal remotor muscle 48a	FBbt:00058898	coxal tergal remotor muscle 48a
FBbt:00003378	muscle cell of coxal tergal remotor muscle 48b	FBbt:00058899	coxal tergal remotor muscle 48b
FBbt:00003379	direct flight muscle cell	FBbt:00058900	direct flight muscle
FBbt:00003386	tergopleural muscle cell	FBbt:00058907	tergopleural muscle
FBbt:00003392	muscle cell of subalar muscle 57	FBbt:00058913	subalar muscle 57
FBbt:00003393	mesothoracic pleurosternal muscle cell	FBbt:00058914	mesothoracic pleurosternal muscle
FBbt:00003394	muscle cell of mesothoracic pleurosternal muscle 59	FBbt:00058915	mesothoracic pleurosternal muscle 59
FBbt:00003395	muscle cell of mesothoracic pleurosternal muscle 60	FBbt:00058916	mesothoracic pleurosternal muscle 60
FBbt:00003396	muscle cell of mesothoracic lateral intrasegmental muscle 61	FBbt:00058917	mesothoracic lateral intrasegmental muscle 61
FBbt:00003397	muscle cell of mesothoracic ventral longitudinal muscle 62	FBbt:00058918	mesothoracic ventral longitudinal muscle 62
FBbt:00003398	muscle cell of mesothoracic pleural remotor muscle 63	FBbt:00058919	mesothoracic pleural remotor muscle 63
FBbt:00003399	muscle cell of mesothoracic sternal remotor muscle 65	FBbt:00058920	mesothoracic sternal remotor muscle 65
FBbt:00003400	muscle cell of mesothoracic sternal promotor muscle 64	FBbt:00058921	mesothoracic sternal promotor muscle 64
FBbt:00003401	muscle cell of mesothoracic spiracle occlusor muscle 76	FBbt:00058922	mesothoracic spiracle occlusor muscle 76
FBbt:00003402	somatic muscle cell of mesothoracic leg	FBbt:00058923	somatic muscle of mesothoracic leg
FBbt:00003403	mesothoracic depressor muscle cell	FBbt:00058924	mesothoracic depressor muscle
FBbt:00003404	tergotrochanter muscle cell	FBbt:00058925	tergotrochanter muscle
FBbt:00003405	muscle cell of mesothoracic intracoxal depressor muscle 67	FBbt:00058926	mesothoracic intracoxal depressor muscle 67
FBbt:00003406	mesothoracic tibial depressor muscle cell	FBbt:00058927	mesothoracic tibial depressor muscle
FBbt:00003407	muscle cell of mesothoracic tibial depressor muscle 71	FBbt:00058928	mesothoracic tibial depressor muscle 71
FBbt:00003408	mesothoracic tibial reductor muscle cell	FBbt:00058929	mesothoracic tibial reductor muscle
FBbt:00003409	muscle cell of mesothoracic tarsal depressor muscle 74	FBbt:00058930	mesothoracic tarsal depressor muscle 74
FBbt:00003411	mesothoracic levator muscle cell	FBbt:00058931	mesothoracic levator muscle
FBbt:00003412	muscle cell of mesothoracic intracoxal levator muscle 68	FBbt:00058932	mesothoracic intracoxal levator muscle 68
FBbt:00003413	muscle cell of mesothoracic tibial levator muscle 70	FBbt:00058933	mesothoracic tibial levator muscle 70
FBbt:00003414	muscle cell of mesothoracic tarsal levator muscle 73	FBbt:00058934	mesothoracic tarsal levator muscle 73
FBbt:00003415	mesothoracic reductor muscle cell	FBbt:00058935	mesothoracic reductor muscle
FBbt:00003416	muscle cell of mesothoracic femoral reductor muscle 69	FBbt:00058936	mesothoracic femoral reductor muscle 69
FBbt:00003417	somatic muscle cell of metathorax	FBbt:00058937	somatic muscle of metathorax
FBbt:00003422	muscle cell of metathoracic pleurosternal muscle 79	FBbt:00058942	metathoracic pleurosternal muscle 79
FBbt:00003423	muscle cell of metathoracic lateral intersegmental muscle 80	FBbt:00058943	metathoracic lateral intersegmental muscle 80
FBbt:00003424	muscle cell of metathoracic ventral longitudinal muscle 81	FBbt:00058944	metathoracic ventral longitudinal muscle 81
FBbt:00003425	muscle cell of metathoracic pleural promotor muscle 82	FBbt:00058945	metathoracic pleural promotor muscle 82
FBbt:00003426	muscle cell of metathoracic sternal promotor muscle 84	FBbt:00058946	metathoracic sternal promotor muscle 84
FBbt:00003427	muscle cell of metathoracic pleural remotor muscle 83	FBbt:00058947	metathoracic pleural remotor muscle 83
FBbt:00003428	muscle cell of metathoracic sternal remotor muscle 85	FBbt:00058948	metathoracic sternal remotor muscle 85
FBbt:00003429	muscle cell of metathoracic spiracle occlusor muscle 97	FBbt:00058949	metathoracic spiracle occlusor muscle 97
FBbt:00003430	somatic muscle cell of metathoracic leg	FBbt:00058950	somatic muscle of metathoracic leg
FBbt:00003431	metathoracic depressor muscle cell	FBbt:00058951	metathoracic depressor muscle
FBbt:00003432	metathoracic extracoxal depressor muscle cell	FBbt:00058952	metathoracic extracoxal depressor muscle
FBbt:00003433	muscle cell of metathoracic ternal extracoxal depressor muscle 86	FBbt:00058953	metathoracic ternal extracoxal depressor muscle 86
FBbt:00003434	muscle cell of metathoracic sternal extracoxal depressor muscle 87	FBbt:00058954	metathoracic sternal extracoxal depressor muscle 87
FBbt:00003435	muscle cell of a metathoracic intracoxal depressor muscle 88	FBbt:00058955	metathoracic intracoxal depressor muscle 88
FBbt:00003436	metathoracic tibial depressor muscle cell	FBbt:00058956	metathoracic tibial depressor muscle
FBbt:00003437	muscle cell of metathoracic tibial depressor muscle 92	FBbt:00058957	metathoracic tibial depressor muscle 92
FBbt:00003438	metathoracic tibial reductor muscle cell	FBbt:00058958	metathoracic tibial reductor muscle
FBbt:00003439	muscle cell of metathoracic tarsal depressor muscle 95	FBbt:00058959	metathoracic tarsal depressor muscle 95
FBbt:00003441	metathoracic levator muscle cell	FBbt:00058960	metathoracic levator muscle
FBbt:00003442	muscle cell of metathoracic intracoxal levator muscle 89	FBbt:00058961	metathoracic intracoxal levator muscle 89
FBbt:00003443	muscle cell of metathoracic tibial levator muscle 91	FBbt:00058962	metathoracic tibial levator muscle 91
FBbt:00003444	muscle cell of metathoracic tarsal levator muscle 94	FBbt:00058963	metathoracic tarsal levator muscle 94
FBbt:00003445	metathoracic reductor muscle cell	FBbt:00058964	metathoracic reductor muscle
FBbt:00003446	muscle cell of metathoracic femoral reductor muscle 90	FBbt:00058965	metathoracic femoral reductor muscle 90
FBbt:00003447	adult somatic muscle cell of abdomen	FBbt:00058966	adult somatic muscle of abdomen
FBbt:00003448	muscle cell of abdominal 1 dorsal longitudinal muscle	FBbt:00058967	abdominal 1 dorsal longitudinal muscle
FBbt:00003450	muscle cell of abdominal 1 medial dorsal longitudinal muscle 98	FBbt:00058968	abdominal 1 medial dorsal longitudinal muscle 98
FBbt:00003451	muscle cell of abdominal 1 lateral dorsal longitudinal muscle 99	FBbt:00058969	abdominal 1 lateral dorsal longitudinal muscle 99
FBbt:00003452	muscle cell of abdominal 1 lateral dorsal longitudinal muscle 100	FBbt:00058970	abdominal 1 lateral dorsal longitudinal muscle 100
FBbt:00003453	muscle cell of abdominal 1 oblique lateral dorsal longitudinal muscle 101	FBbt:00058971	abdominal 1 oblique lateral dorsal longitudinal muscle 101
FBbt:00003454	muscle cell of abdominal 1 oblique lateral dorsal longitudinal muscle 102	FBbt:00058972	abdominal 1 oblique lateral dorsal longitudinal muscle 102
FBbt:00003455	muscle cell of abdominal 1 lateral tergosternal muscle 103	FBbt:00058973	abdominal 1 lateral tergosternal muscle 103
FBbt:00003456	muscle cell of abdominal 1 ventral longitudinal muscle 104	FBbt:00058974	abdominal 1 ventral longitudinal muscle 104
FBbt:00003457	muscle cell of abdominal 1 spiracular muscle 105	FBbt:00058975	abdominal 1 spiracular muscle 105
FBbt:00003459	muscle cell of abdominal 1 oblique sternopleural muscle	FBbt:00058976	abdominal 1 oblique sternopleural muscle
FBbt:00003460	muscle cell of abdominal 1 oblique sternopleural muscle 107	FBbt:00058977	abdominal 1 oblique sternopleural muscle 107
FBbt:00003461	muscle cell of abdominal 1 oblique sternopleural muscle 108	FBbt:00058978	abdominal 1 oblique sternopleural muscle 108
FBbt:00003462	abdominal dorsal muscle cell	FBbt:00058979	abdominal dorsal muscle
FBbt:00003463	muscle cell of abdominal 2 dorsal muscle 109	FBbt:00058980	abdominal 2 dorsal muscle 109
FBbt:00003464	muscle cell of abdominal 3 dorsal muscle 115	FBbt:00058981	abdominal 3 dorsal muscle 115
FBbt:00003465	muscle cell of abdominal 4 dorsal muscle 121	FBbt:00058982	abdominal 4 dorsal muscle 121
FBbt:00003466	muscle cell of abdominal 5 dorsal muscle 127	FBbt:00058983	abdominal 5 dorsal muscle 127
FBbt:00003467	muscle cell of abdominal 6 dorsal muscle 133	FBbt:00058984	abdominal 6 dorsal muscle 133
FBbt:00003468	muscle cell of abdominal 7 female dorsal muscle 139	FBbt:00058985	abdominal 7 female dorsal muscle 139
FBbt:00003469	muscle cell of abdominal 8 female dorsal muscle 145	FBbt:00058986	abdominal 8 female dorsal muscle 145
FBbt:00003470	muscle cell abdominal 8 female dorsal muscle 146	FBbt:00058987	abdominal 8 female dorsal muscle 146
FBbt:00003471	muscle cell of abdominal 8 female dorsal muscle 147	FBbt:00058988	abdominal 8 female dorsal muscle 147
FBbt:00003472	muscle cell of abdominal 8 female dorsal muscle 148	FBbt:00058989	abdominal 8 female dorsal muscle 148
FBbt:00003473	abdominal lateral tergosternal muscle cell	FBbt:00058990	abdominal lateral tergosternal muscle
FBbt:00003474	muscle cell of abdominal 2 lateral tergosternal muscle 110	FBbt:00058991	abdominal 2 lateral tergosternal muscle 110
FBbt:00003475	muscle cell of abdominal 3 lateral tergosternal muscle 116	FBbt:00058992	abdominal 3 lateral tergosternal muscle 116
FBbt:00003476	muscle cell of abdominal 4 lateral tergosternal muscle 122	FBbt:00058993	abdominal 4 lateral tergosternal muscle 122
FBbt:00003477	muscle cell of abdominal 5 lateral tergosternal muscle 128	FBbt:00058994	abdominal 5 lateral tergosternal muscle 128
FBbt:00003478	muscle cell of abdominal 6 lateral tergosternal muscle 134	FBbt:00058995	abdominal 6 lateral tergosternal muscle 134
FBbt:00003479	abdominal ventral muscle cell	FBbt:00058996	abdominal ventral muscle
FBbt:00003480	muscle cell of abdominal 2 ventral muscle 111	FBbt:00058997	abdominal 2 ventral muscle 111
FBbt:00003481	muscle cell of abdominal 3 ventral muscle 117	FBbt:00058998	abdominal 3 ventral muscle 117
FBbt:00003482	muscle cell of abdominal 4 ventral muscle 123	FBbt:00058999	abdominal 4 ventral muscle 123
FBbt:00003483	muscle cell of abdominal 5 ventral muscle 129	FBbt:00059000	abdominal 5 ventral muscle 129
FBbt:00003484	muscle cell of abdominal 6 ventral muscle 135	FBbt:00059001	abdominal 6 ventral muscle 135
FBbt:00003485	muscle cell of abdominal 7 female ventral muscle 142	FBbt:00059002	abdominal 7 female ventral muscle 142
FBbt:00003486	muscle cell of abdominal 8 female ventral muscle 149	FBbt:00059003	abdominal 8 female ventral muscle 149
FBbt:00003488	muscle cell of abdominal 2 spiracular muscle 112	FBbt:00059004	abdominal 2 spiracular muscle 112
FBbt:00003489	muscle cell of abdominal 3 spiracular muscle 118	FBbt:00059005	abdominal 3 spiracular muscle 118
FBbt:00003490	muscle cell of abdominal 4 spiracular muscle 124	FBbt:00059006	abdominal 4 spiracular muscle 124
FBbt:00003491	muscle cell of abdominal 5 spiracular muscle 130	FBbt:00059007	abdominal 5 spiracular muscle 130
FBbt:00003492	muscle cell of abdominal 6 spiracular muscle 136	FBbt:00059008	abdominal 6 spiracular muscle 136
FBbt:00003493	muscle cell of abdominal 7 female spiracular muscle 143	FBbt:00059009	abdominal 7 female spiracular muscle 143
FBbt:00003494	abdominal oblique dorsal muscle cell	FBbt:00059010	abdominal oblique dorsal muscle
FBbt:00003495	muscle cell of abdominal 2 oblique dorsal muscle 113	FBbt:00059011	abdominal 2 oblique dorsal muscle 113
FBbt:00003496	muscle cell of abdominal 3 oblique dorsal muscle 119	FBbt:00059012	abdominal 3 oblique dorsal muscle 119
FBbt:00003497	muscle cell of abdominal 4 oblique dorsal muscle 125	FBbt:00059013	abdominal 4 oblique dorsal muscle 125
FBbt:00003498	muscle cell of abdominal 5 oblique dorsal muscle 131	FBbt:00059014	abdominal 5 oblique dorsal muscle 131
FBbt:00003499	muscle cell of abdominal 6 oblique dorsal muscle 137	FBbt:00059015	abdominal 6 oblique dorsal muscle 137
FBbt:00003505	male abdominal muscle cell	FBbt:00059016	male abdominal muscle
FBbt:00003506	muscle cell of male abdominal 5 muscle	FBbt:00059017	male abdominal 5 muscle
FBbt:00003507	female abdominal somatic muscle cell	FBbt:00059018	female abdominal somatic muscle
FBbt:00003508	muscle cell of abdominal 7 female lateral muscle 140	FBbt:00059019	abdominal 7 female lateral muscle 140
FBbt:00003509	muscle cell of abdominal 7 female lateral muscle 141	FBbt:00059020	abdominal 7 female lateral muscle 141
FBbt:00003510	muscle cell of abdominal 7 female sternal muscle 144	FBbt:00059021	abdominal 7 female sternal muscle 144
FBbt:00003511	muscle cell of abdominal 8 female lateral ventral muscle 150	FBbt:00059022	abdominal 8 female lateral ventral muscle 150
FBbt:00003512	muscle cell of abdominal 8 female transverse ventral muscle 151	FBbt:00059023	abdominal 8 female transverse ventral muscle 151
FBbt:00003513	female rectal somatic muscle cell	FBbt:00059024	female rectal somatic muscle
FBbt:00003514	muscle cell of female dorsal rectal muscle 152	FBbt:00059025	female dorsal rectal muscle 152
FBbt:00003515	muscle cell of female ventral rectal muscle 153	FBbt:00059026	female ventral rectal muscle 153
FBbt:00003551	ejaculatory bulb muscle cell	FBbt:00059027	ejaculatory bulb muscle
FBbt:00003552	muscle cell of male genital muscle I	FBbt:00059028	male genital muscle I
FBbt:00005073	somatic muscle cell	FBbt:00058111	somatic muscle
FBbt:00005086	tubular muscle cell	FBbt:00059029	tubular muscle
FBbt:00005087	synchronous muscle cell	FBbt:00059030	synchronous muscle
FBbt:00005088	asynchronous muscle cell	FBbt:00059031	asynchronous muscle
FBbt:00005257	cardiac outflow muscle cell	FBbt:00059032	cardiac outflow muscle
FBbt:00005649	embryonic somatic muscle cell	FBbt:00059033	embryonic somatic muscle
FBbt:00005651	embryonic hypodermal muscle cell	FBbt:00059034	embryonic hypodermal muscle
FBbt:00007589	muscle cell of larval thoracic ventral intersegmental muscle 1	FBbt:00059035	larval thoracic ventral intersegmental muscle 1
FBbt:00007590	muscle cell of abdominal 8 ventral acute muscle 1	FBbt:00059036	abdominal 8 ventral acute muscle 1
FBbt:00007669	prothoracic ventral eclosion muscle cell	FBbt:00059037	prothoracic ventral eclosion muscle
FBbt:00007671	muscle cell of abdominal temporary eclosion muscle DA	FBbt:00059038	abdominal temporary eclosion muscle DA
FBbt:00007672	muscle cell of abdominal temporary eclosion muscle LL1	FBbt:00059039	abdominal temporary eclosion muscle LL1
FBbt:00007673	muscle cell of abdominal temporary eclosion muscle VL	FBbt:00059040	abdominal temporary eclosion muscle VL
FBbt:00007674	muscle cell of abdominal temporary eclosion muscle SBM	FBbt:00059041	abdominal temporary eclosion muscle SBM
FBbt:00010640	muscle cell of abdominal 1 temporary eclosion muscle DA1	FBbt:00059042	abdominal 1 temporary eclosion muscle DA1
FBbt:00010641	muscle cell of abdominal 1 temporary eclosion muscle DA2	FBbt:00059043	abdominal 1 temporary eclosion muscle DA2
FBbt:00010642	muscle cell of abdominal 1 temporary eclosion muscle DA3	FBbt:00059044	abdominal 1 temporary eclosion muscle DA3
FBbt:00010649	muscle cell abdominal 1 temporary eclosion muscle LL1	FBbt:00059045	abdominal 1 temporary eclosion muscle LL1
FBbt:00010650	muscle cell of abdominal 1 temporary eclosion muscle VL1	FBbt:00059046	abdominal 1 temporary eclosion muscle VL1
FBbt:00010652	muscle cell of abdominal 1 temporary eclosion muscle VL2	FBbt:00059047	abdominal 1 temporary eclosion muscle VL2
FBbt:00010655	muscle cell of abdominal 1 temporary eclosion muscle SBM	FBbt:00059048	abdominal 1 temporary eclosion muscle SBM
FBbt:00010685	muscle cell of abdominal 2 temporary eclosion muscle DA1	FBbt:00059049	abdominal 2 temporary eclosion muscle DA1
FBbt:00010686	muscle cell of abdominal 2 temporary eclosion muscle DA2	FBbt:00059050	abdominal 2 temporary eclosion muscle DA2
FBbt:00010687	muscle cell of abdominal 2 temporary eclosion muscle DA3	FBbt:00059051	abdominal 2 temporary eclosion muscle DA3
FBbt:00010710	muscle cell of abdominal 2 temporary eclosion muscle LL1	FBbt:00059052	abdominal 2 temporary eclosion muscle LL1
FBbt:00010712	muscle cell of abdominal 2 temporary eclosion muscle VL1	FBbt:00059053	abdominal 2 temporary eclosion muscle VL1
FBbt:00010713	muscle cell of abdominal 2 temporary eclosion muscle VL2	FBbt:00059054	abdominal 2 temporary eclosion muscle VL2
FBbt:00010716	muscle cell of abdominal 2 temporary eclosion muscle SBM	FBbt:00059055	abdominal 2 temporary eclosion muscle SBM
FBbt:00010730	muscle cell of abdominal 3 temporary eclosion muscle DA1	FBbt:00059056	abdominal 3 temporary eclosion muscle DA1
FBbt:00010732	muscle cell of abdominal 3 temporary eclosion muscle DA3	FBbt:00059057	abdominal 3 temporary eclosion muscle DA3
FBbt:00010775	muscle cell of abdominal 4 temporary eclosion muscle DA1	FBbt:00059058	abdominal 4 temporary eclosion muscle DA1
FBbt:00010777	muscle cell of abdominal 4 temporary eclosion muscle DA3	FBbt:00059059	abdominal 4 temporary eclosion muscle DA3
FBbt:00010806	muscle cell of abdominal 4 temporary eclosion muscle SBM	FBbt:00059060	abdominal 4 temporary eclosion muscle SBM
FBbt:00010820	muscle cell of abdominal 5 temporary eclosion muscle DA1	FBbt:00059061	abdominal 5 temporary eclosion muscle DA1
FBbt:00010851	muscle cell of abdominal 5 temporary eclosion muscle SBM	FBbt:00059062	abdominal 5 temporary eclosion muscle SBM
FBbt:00010896	muscle cell of abdominal 6 temporary eclosion muscle SBM	FBbt:00059063	abdominal 6 temporary eclosion muscle SBM
FBbt:00013333	spiracular occlusor muscle cell	FBbt:00059064	spiracular occlusor muscle
FBbt:00013334	occlusor muscle cell of adult abdominal spiracle	FBbt:00059065	occlusor muscle of adult abdominal spiracle
FBbt:00013335	occlusor muscle cell of adult thoracic spiracle	FBbt:00059066	occlusor muscle of adult thoracic spiracle
FBbt:00016665	temporary eclosion muscle cell	FBbt:00059067	temporary eclosion muscle
FBbt:00020761	muscle cell of abdominal 3 temporary eclosion muscle SBM	FBbt:00059068	abdominal 3 temporary eclosion muscle SBM
FBbt:00047243	dorsal ventral indirect flight muscle cell	FBbt:00059069	dorsal ventral indirect flight muscle
FBbt:00048105	muscle cell of tergopleural muscle 1	FBbt:00059072	tergopleural muscle 1
FBbt:00048106	muscle cell of tergopleural muscle 2	FBbt:00059073	tergopleural muscle 2
FBbt:00048399	muscle cell of male genital muscle III	FBbt:00059076	male genital muscle III
FBbt:00048400	muscle cell of male genital muscle IV	FBbt:00059077	male genital muscle IV
FBbt:00048401	muscle cell of male genital muscle V	FBbt:00059078	male genital muscle V
FBbt:00048402	muscle cell of male genital muscle VI	FBbt:00059079	male genital muscle VI
FBbt:00048407	male genital muscle cell	FBbt:00059080	male genital muscle
FBbt:00049181	mouth hook depressor muscle cell	FBbt:00059081	mouth hook depressor muscle
FBbt:00049182	mouth hook elevator muscle cell	FBbt:00059082	mouth hook elevator muscle
FBbt:00049188	labial retractor muscle cell	FBbt:00059083	labial retractor muscle
FBbt:00049189	dorsal protractor muscle cell	FBbt:00059084	dorsal protractor muscle
FBbt:00049190	muscle cell of dorsal protractor muscle A	FBbt:00059085	dorsal protractor muscle A
FBbt:00049191	muscle cell of dorsal protractor muscle B	FBbt:00059086	dorsal protractor muscle B
FBbt:00051177	muscle cell of proboscis muscle 2 ventral	FBbt:00059087	proboscis muscle 2 ventral
FBbt:00051178	muscle cell of proboscis muscle 12 ventral	FBbt:00059088	proboscis muscle 12 ventral
FBbt:00051179	muscle cell of proboscis muscle 11 ventral	FBbt:00059089	proboscis muscle 11 ventral
FBbt:00051195	adult pharynx muscle cell	FBbt:00059090	adult pharynx muscle
FBbt:00051196	muscle cell of proboscis muscle 3 medial fiber	FBbt:00059091	proboscis muscle 3 medial fiber
FBbt:00051197	muscle cell of proboscis muscle 3 lateral fiber	FBbt:00059092	proboscis muscle 3 lateral fiber
FBbt:00051199	rostrum muscle cell	FBbt:00059093	rostrum muscle
FBbt:00051427	larval internal muscle cell	FBbt:00059094	larval internal muscle
FBbt:00051428	larval external muscle cell	FBbt:00059095	larval external muscle
FBbt:00052675	adult retinal muscle cell	FBbt:00052672	adult retinal muscle
FBbt:00052676	adult MOT retinal muscle cell	FBbt:00052673	adult MOT retinal muscle
FBbt:00052677	adult MOS retinal muscle cell	FBbt:00052674	adult MOS retinal muscle
FBbt:00058101	trochanter reductor muscle cell	FBbt:00059096	trochanter reductor muscle
FBbt:00058102	prothoracic trochanter reductor muscle cell	FBbt:00059097	prothoracic trochanter reductor muscle
FBbt:00058103	mesothoracic trochanter reductor muscle cell	FBbt:00059098	mesothoracic trochanter reductor muscle
FBbt:00058104	metathoracic trochanter reductor muscle cell	FBbt:00059099	metathoracic trochanter reductor muscle
FBbt:00058105	femoral depressor muscle cell	FBbt:00059100	femoral depressor muscle
FBbt:00058106	prothoracic femoral depressor muscle cell	FBbt:00059101	prothoracic femoral depressor muscle
FBbt:00058107	mesothoracic femoral depressor muscle cell	FBbt:00059102	mesothoracic femoral depressor muscle
FBbt:00058108	metathoracic femoral depressor muscle cell	FBbt:00059103	metathoracic femoral depressor muscle
FBbt:00058109	tibial reductor muscle cell	FBbt:00059104	tibial reductor muscle
FBbt:00058113	tarsal reductor muscle cell	FBbt:00059105	tarsal reductor muscle
FBbt:00058114	posterior tarsal reductor muscle cell	FBbt:00059106	posterior tarsal reductor muscle
FBbt:00058115	anterior tarsal reductor muscle cell	FBbt:00059107	anterior tarsal reductor muscle
FBbt:00058116	prothoracic tarsal reductor muscle cell	FBbt:00059108	prothoracic tarsal reductor muscle
FBbt:00058117	mesothoracic tarsal reductor muscle cell	FBbt:00059109	mesothoracic tarsal reductor muscle
FBbt:00058118	metathoracic tarsal reductor muscle cell	FBbt:00059110	metathoracic tarsal reductor muscle
FBbt:00058119	prothoracic anterior tarsal reductor muscle cell	FBbt:00059111	prothoracic anterior tarsal reductor muscle
FBbt:00058120	mesothoracic anterior tarsal reductor muscle cell	FBbt:00059112	mesothoracic anterior tarsal reductor muscle
FBbt:00058121	metathoracic tarsal anterior reductor muscle cell	FBbt:00059113	metathoracic tarsal anterior reductor muscle
FBbt:00058122	prothoracic posterior tarsal reductor muscle cell	FBbt:00059114	prothoracic posterior tarsal reductor muscle
FBbt:00058123	mesothoracic posterior tarsal reductor muscle cell	FBbt:00059115	mesothoracic posterior tarsal reductor muscle
FBbt:00058124	metathoracic posterior tarsal reductor muscle cell	FBbt:00059116	metathoracic posterior tarsal reductor muscle
FBbt:00058125	femoral pretarsal depressor muscle cell	FBbt:00059117	femoral pretarsal depressor muscle
FBbt:00058126	tibial pretarsal depressor muscle cell	FBbt:00059118	tibial pretarsal depressor muscle
FBbt:00058127	prothoracic pretarsal depressor muscle cell	FBbt:00059119	prothoracic pretarsal depressor muscle
FBbt:00058128	mesothoracic pretarsal depressor muscle cell	FBbt:00059120	mesothoracic pretarsal depressor muscle
FBbt:00058129	metathoracic pretarsal depressor muscle cell	FBbt:00059121	metathoracic pretarsal depressor muscle
FBbt:00058130	prothoracic tibial pretarsal depressor muscle cell	FBbt:00059122	prothoracic tibial pretarsal depressor muscle
FBbt:00058131	mesothoracic tibial pretarsal depressor muscle cell	FBbt:00059123	mesothoracic tibial pretarsal depressor muscle
FBbt:00058132	metathoracic tibial pretarsal depressor muscle cell	FBbt:00059124	metathoracic tibial pretarsal depressor muscle
FBbt:00058133	prothoracic femoral pretarsal depressor muscle cell	FBbt:00059125	prothoracic femoral pretarsal depressor muscle
FBbt:00058134	mesothoracic femoral pretarsal depressor muscle cell	FBbt:00059126	mesothoracic femoral pretarsal depressor muscle
FBbt:00058135	metathoracic femoral pretarsal depressor muscle cell	FBbt:00059127	metathoracic femoral pretarsal depressor muscle
FBbt:00110213	SN innervated muscle cell of A1-7	FBbt:00059128	SN innervated muscle of A1-7
FBbt:00110215	ISN innervated muscle cell of A1-7	FBbt:00059129	ISN innervated muscle of A1-7
FBbt:00110221	muscle cell of dorsal acute muscle 1	FBbt:00059130	dorsal acute muscle 1
FBbt:00110222	muscle cell of dorsal acute muscle 2	FBbt:00059131	dorsal acute muscle 2
FBbt:00110226	muscle cell of dorsal oblique muscle 1	FBbt:00059132	dorsal oblique muscle 1
FBbt:00110229	muscle cell of dorsal oblique muscle 2	FBbt:00059133	dorsal oblique muscle 2
FBbt:00110232	muscle cell of dorsal acute muscle 3	FBbt:00059134	dorsal acute muscle 3
FBbt:00110236	muscle cell of dorsal oblique muscle 3	FBbt:00059135	dorsal oblique muscle 3
FBbt:00110239	muscle cell of dorsal oblique muscle 4	FBbt:00059136	dorsal oblique muscle 4
FBbt:00110244	muscle cell of ventral oblique muscle 2	FBbt:00059137	ventral oblique muscle 2
FBbt:00110246	muscle cell of ventral longitudinal muscle 3	FBbt:00059138	ventral longitudinal muscle 3
FBbt:00110247	muscle cell of ventral longitudinal muscle 4	FBbt:00059139	ventral longitudinal muscle 4
FBbt:00110249	muscle cell of ventral oblique muscle 1	FBbt:00059140	ventral oblique muscle 1
FBbt:00110253	muscle cell of ventral acute muscle 1	FBbt:00059141	ventral acute muscle 1
FBbt:00110256	muscle cell of ventral acute muscle 2	FBbt:00059142	ventral acute muscle 2
FBbt:00110262	muscle cell of lateral transverse muscle 1	FBbt:00059143	lateral transverse muscle 1
FBbt:00110265	muscle cell of lateral transverse muscle 2	FBbt:00059144	lateral transverse muscle 2
FBbt:00110268	muscle cell of lateral transverse muscle 3	FBbt:00059145	lateral transverse muscle 3
FBbt:00110271	muscle cell of lateral transverse muscle 4	FBbt:00059146	lateral transverse muscle 4
FBbt:00110280	muscle cell of ventral transverse muscle 1	FBbt:00059147	ventral transverse muscle 1
FBbt:00110283	muscle cell of ventral oblique muscle 3	FBbt:00059148	ventral oblique muscle 3
FBbt:00110293	muscle cell of ventral longitudinal muscle 2	FBbt:00059149	ventral longitudinal muscle 2
FBbt:00110299	hypodermal muscle cell of A1-7	FBbt:00059150	hypodermal muscle of A1-7
FBbt:00110301	muscle cell of ventral longitudinal muscle 1	FBbt:00059151	ventral longitudinal muscle 1
FBbt:00110303	TN innervated muscle cell of A1-7	FBbt:00059152	TN innervated muscle of A1-7
FBbt:00110926	muscle cell of male genital muscle II	FBbt:00059153	male genital muscle II
FBbt:00111048	prothoracic remotor muscle cell	FBbt:00059154	prothoracic remotor muscle
