#curie_map:
#  BSPO: "http://purl.obolibrary.org/obo/BSPO_"
#  CARO: "http://purl.obolibrary.org/obo/CARO_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  DoOR: "http://neuro.uni-konstanz.de/DoOR/content/receptor.php?OR="
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  FlyBrain_NDB: "https://flybrain-ndb.virtualflybrain.org/neuronrec-"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  ORCID: "https://orcid.org/"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  atlas: "https://www.ento.csiro.au/biology/drosophila/melanogaster.html?"
#  larvalbrain_axon_tract: "http://www.larvalbrain.org/#/browse/axontract/"
#  larvalbrain_neuropil: "http://www.larvalbrain.org/#/browse/neuropil/"
#  obo: "http://purl.obolibrary.org/obo/"
#mapping_set_id: "http://purl.obolibrary.org/obo/fbbt/fbbt-mappings.sssom.tsv"
#mapping_set_description: "Mappings between the Drosophila Anatomy Ontology and foreign ontologies."
#creator_id:
#  - "ORCID:0000-0002-1373-1705"
#  - "ORCID:0000-0002-6095-8718"
#license: "https://creativecommons.org/licenses/by/4.0/"
#subject_source: "obo:fbbt.owl"
subject_id	subject_label	predicate_id	object_id	mapping_justification	object_source	mapping_date	comment
FBbt_00067049	adult olfactory receptor neuron Or85a	skos:exactMatch	DoOR:Or85a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067054	adult olfactory receptor neuron Or47a	skos:exactMatch	DoOR:Or33b	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067054	adult olfactory receptor neuron Or47a	skos:exactMatch	DoOR:Or47a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067055	adult olfactory receptor neuron Or49a/85f	skos:exactMatch	DoOR:Or49a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067055	adult olfactory receptor neuron Or49a/85f	skos:exactMatch	DoOR:Or85f	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067063	adult olfactory receptor neuron Or56a	skos:exactMatch	DoOR:Or33a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00067063	adult olfactory receptor neuron Or56a	skos:exactMatch	DoOR:Or56a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00100424	larval olfactory receptor neuron Or33b/Or47a	skos:relatedMatch	DoOR:Or47a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00100434	larval olfactory receptor neuron Or67b	skos:relatedMatch	DoOR:Or67b	semapv:ManualMappingCuration		2024-10-17	
FBbt_00100439	larval olfactory receptor neuron Or94a/Or94b	skos:exactMatch	DoOR:Or94a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00100439	larval olfactory receptor neuron Or94a/Or94b	skos:exactMatch	DoOR:Or94b	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110007	adult olfactory receptor neuron Ir84a	skos:broadMatch	DoOR:ac4	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110010	adult olfactory receptor neuron Ir31a	skos:broadMatch	DoOR:ac1	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110010	adult olfactory receptor neuron Ir31a	skos:exactMatch	DoOR:Ir31a	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110011	adult olfactory receptor neuron Ir75d ac1	skos:broadMatch	DoOR:ac1	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110012	adult olfactory receptor neuron Ir92a	skos:broadMatch	DoOR:ac1	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110012	adult olfactory receptor neuron Ir92a	skos:broadMatch	DoOR:ac1BC	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110012	adult olfactory receptor neuron Ir92a	skos:exactMatch	DoOR:ac1B	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110013	adult olfactory receptor neuron Ir75a	skos:broadMatch	DoOR:ac2	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110013	adult olfactory receptor neuron Ir75a	skos:exactMatch	DoOR:ac2A	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110014	adult olfactory receptor neuron Ir75d ac2	skos:broadMatch	DoOR:ac2	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110014	adult olfactory receptor neuron Ir75d ac2	skos:broadMatch	DoOR:ac2BC	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110015	adult olfactory receptor neuron Ir41a	skos:broadMatch	DoOR:ac2	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110015	adult olfactory receptor neuron Ir41a	skos:broadMatch	DoOR:ac2BC	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110016	adult olfactory receptor neuron Ir75b	skos:exactMatch	DoOR:Ir75b	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110017	adult olfactory receptor neuron Ir75d ac4	skos:broadMatch	DoOR:ac4	semapv:ManualMappingCuration		2024-10-17	
FBbt_00110018	adult olfactory receptor neuron Ir76a	skos:broadMatch	DoOR:ac4	semapv:ManualMappingCuration		2024-10-17	
FBbt_00111210	adult olfactory receptor neuron Ir64a DC4	skos:exactMatch	DoOR:Ir64a.DC4	semapv:ManualMappingCuration		2024-10-17	
FBbt_00111212	adult olfactory receptor neuron Ir64a DP1m	skos:exactMatch	DoOR:Ir64a.DP1m	semapv:ManualMappingCuration		2024-10-17	
FBbt:00000001	organism	semapv:crossSpeciesExactMatch	CARO:0000012	semapv:ManualMappingCuration	obo:caro.owl	2024-07-12	
FBbt:00000001	organism	semapv:crossSpeciesExactMatch	UBERON:0000468	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000002	tagma	semapv:crossSpeciesExactMatch	UBERON:6000002	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000003	segment	semapv:crossSpeciesExactMatch	UBERON:0000914	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000004	head	semapv:crossSpeciesExactMatch	UBERON:6000004	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	Somewhat redundant with ‘insect {adult/larval} head’
FBbt:00000005	ocular segment	semapv:crossSpeciesExactMatch	UBERON:6000005	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000006	head segment	semapv:crossSpeciesExactMatch	UBERON:6000006	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000007	procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6000007	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	Uberon term should probably be named ‘insect procephalic segment’?
FBbt:00000008	labral segment	semapv:crossSpeciesExactMatch	UBERON:6000008	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	Uberon term should probably be named ‘insect labral segment’?
FBbt:00000009	antennal segment	semapv:crossSpeciesExactMatch	UBERON:6000009	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000011	gnathal segment	semapv:crossSpeciesExactMatch	UBERON:6000011	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000014	labial segment	semapv:crossSpeciesExactMatch	UBERON:6000014	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000015	thorax	semapv:crossSpeciesExactMatch	UBERON:6000015	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000016	thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000016	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000017	prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000017	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000018	mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000018	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000019	metathoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000019	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000020	abdomen	semapv:crossSpeciesExactMatch	UBERON:6000020	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000021	abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6000021	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000029	abdominal segment 8	semapv:crossSpeciesExactMatch	UBERON:6000029	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	Why does Uberon only have terms for segments 8 and 9?
FBbt:00000030	abdominal segment 9	semapv:crossSpeciesExactMatch	UBERON:6000030	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	Likewise
FBbt:00000038	chorion	semapv:crossSpeciesExactMatch	UBERON:0000920	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000042	vitelline membrane	semapv:crossSpeciesExactMatch	UBERON:0003125	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000043	micropyle	semapv:crossSpeciesExactMatch	GO:0070825	semapv:ManualMappingCuration	obo:go.owl	2024-07-12	
FBbt:00000046	dorsal appendage	semapv:crossSpeciesExactMatch	UBERON:6000046	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000048	pronucleus	semapv:crossSpeciesExactMatch	GO:0045120	semapv:ManualMappingCuration	obo:go.owl	2024-07-12	
FBbt:00000049	male pronucleus	semapv:crossSpeciesExactMatch	GO:0001940	semapv:ManualMappingCuration	obo:go.owl	2024-07-12	
FBbt:00000050	female pronucleus	semapv:crossSpeciesExactMatch	GO:0001939	semapv:ManualMappingCuration	obo:go.owl	2024-07-12	
FBbt:00000052	embryo	semapv:crossSpeciesExactMatch	UBERON:0000922	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000092	primordial germ cell	semapv:crossSpeciesExactMatch	CL:0000301	semapv:ManualMappingCuration	obo:cl.owl	2024-07-12	
FBbt:00000093	ventral midline of embryo	semapv:crossSpeciesExactMatch	UBERON:0009571	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000095	amnioserosa	semapv:crossSpeciesExactMatch	UBERON:0010302	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	Uberon term commented as “may be obsoleted once added to the insect ontology”
FBbt:00000096	ventral furrow	semapv:crossSpeciesExactMatch	UBERON:6000096	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000097	cephalic furrow	semapv:crossSpeciesExactMatch	UBERON:6000097	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000104	mesoderm anlage	semapv:crossSpeciesExactMatch	UBERON:6000104	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000110	germ layer	semapv:crossSpeciesExactMatch	UBERON:0000923	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000111	ectoderm	semapv:crossSpeciesExactMatch	UBERON:0000924	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000112	dorsal ectoderm	semapv:crossSpeciesExactMatch	UBERON:6000112	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000119	anterior ectoderm	semapv:crossSpeciesExactMatch	UBERON:6000119	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000123	amnioproctodeal invagination	semapv:crossSpeciesExactMatch	UBERON:0000931	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000124	epithelial cell	semapv:crossSpeciesExactMatch	CARO:0000077	semapv:ManualMappingCuration	obo:caro.owl	2024-07-12	
FBbt:00000124	epithelial cell	semapv:crossSpeciesExactMatch	CL:0000066	semapv:ManualMappingCuration	obo:cl.owl	2024-07-12	
FBbt:00000125	endoderm	semapv:crossSpeciesExactMatch	UBERON:0000925	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000126	mesoderm	semapv:crossSpeciesExactMatch	UBERON:0000926	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000128	trunk mesoderm	semapv:crossSpeciesExactMatch	UBERON:6000128	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000130	visceral mesoderm	semapv:crossSpeciesExactMatch	UBERON:6000130	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000136	mesectoderm	semapv:crossSpeciesExactMatch	UBERON:0000927	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000137	embryonic tagma	semapv:crossSpeciesExactMatch	UBERON:6000137	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000154	embryonic segment	semapv:crossSpeciesExactMatch	UBERON:6000154	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000155	embryonic head	semapv:crossSpeciesExactMatch	UBERON:0008816	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000157	embryonic head segment	semapv:crossSpeciesExactMatch	UBERON:6000157	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000158	embryonic procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6000158	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000160	embryonic antennal segment	semapv:crossSpeciesExactMatch	UBERON:6000160	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000162	embryonic gnathal segment	semapv:crossSpeciesExactMatch	UBERON:6000162	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000165	embryonic labial segment	semapv:crossSpeciesExactMatch	UBERON:6000165	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000166	embryonic thorax	semapv:crossSpeciesExactMatch	UBERON:6000166	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000167	embryonic thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000167	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000168	embryonic prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000168	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000169	embryonic mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000169	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000170	embryonic metathoracic segment	semapv:crossSpeciesExactMatch	UBERON:6000170	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000171	embryonic abdomen	semapv:crossSpeciesExactMatch	UBERON:6000171	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000172	embryonic abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6000172	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000180	embryonic abdominal segment 8	semapv:crossSpeciesExactMatch	UBERON:6000180	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000181	embryonic abdominal segment 9	semapv:crossSpeciesExactMatch	UBERON:6000181	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000186	embryonic optic lobe primordium	semapv:crossSpeciesExactMatch	UBERON:6000186	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00000439	stomodeum	semapv:crossSpeciesExactMatch	UBERON:0000930	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001055	presumptive embryonic/larval nervous system	semapv:crossSpeciesExactMatch	UBERON:6001055	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001056	presumptive embryonic/larval central nervous system	semapv:crossSpeciesExactMatch	UBERON:6001056	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001057	neurogenic region	semapv:crossSpeciesExactMatch	UBERON:0002346	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001059	visual primordium	semapv:crossSpeciesExactMatch	UBERON:6001059	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001060	embryonic brain	semapv:crossSpeciesExactMatch	UBERON:6001060	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001107	larval thoracic 1 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:40	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001108	larval thoracic 2 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:41	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001109	larval thoracic 3 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:42	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001111	larval abdominal 1 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:29	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001112	larval abdominal 2 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:30	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001113	larval abdominal 3 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:31	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001114	larval abdominal 4 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:32	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001115	larval abdominal 5 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:33	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001116	larval abdominal 6 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:34	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001117	larval abdominal 7 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:35	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001118	larval abdominal 8 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:36	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001119	larval abdominal 9 anterior commissure	skos:exactMatch	larvalbrain_axon_tract:37	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001122	larval thoracic 1 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:81	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001123	larval thoracic 2 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:82	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001124	larval thoracic 3 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:83	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001126	larval abdominal 1 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:70	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001127	larval abdominal 2 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:71	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001128	larval abdominal 3 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:72	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001129	larval abdominal 4 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:73	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001130	larval abdominal 5 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:74	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001131	larval abdominal 6 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:75	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001132	larval abdominal 7 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:76	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001133	larval abdominal 8 posterior commissure	skos:exactMatch	larvalbrain_axon_tract:77	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001135	proneural cluster	semapv:crossSpeciesExactMatch	UBERON:6001135	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001592	larval VUM neuron	skos:exactMatch	FlyBrain_NDB:10472	semapv:ManualMappingCuration		2024-07-11	
FBbt:00001648	embryonic imaginal tissue	semapv:crossSpeciesExactMatch	UBERON:6001648	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001649	imaginal disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001649	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001650	labial disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001650	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001652	eye-antennal disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001652	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001653	dorsal thoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001653	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001655	dorsal mesothoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001655	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001656	dorsal metathoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001656	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001657	ventral thoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001657	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001658	ventral prothoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001658	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001661	genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001661	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001662	male genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001662	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001663	female genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001663	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001664	embryonic/larval circulatory system	semapv:crossSpeciesExactMatch	UBERON:6001664	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001666	cardioblast	semapv:crossSpeciesExactMatch	CL:0000465	semapv:ManualMappingCuration	obo:cl.owl	2024-07-12	
FBbt:00001668	embryonic/larval lymph gland	semapv:crossSpeciesExactMatch	UBERON:6001668	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001685	embryonic/larval plasmatocyte	semapv:crossSpeciesExactMatch	CL:0000394	semapv:ManualMappingCuration	obo:cl.owl	2024-07-12	
FBbt:00001687	lamellocyte	semapv:crossSpeciesExactMatch	CL:0000396	semapv:ManualMappingCuration	obo:cl.owl	2024-07-12	
FBbt:00001689	procrystal cell	semapv:crossSpeciesExactMatch	CL:0000395	semapv:ManualMappingCuration	obo:cl.owl	2024-07-12	
FBbt:00001690	embryonic/larval crystal cell	semapv:crossSpeciesExactMatch	CL:0000715	semapv:ManualMappingCuration	obo:cl.owl	2024-07-12	
FBbt:00001691	polygonal cell	semapv:crossSpeciesExactMatch	CL:0000398	semapv:ManualMappingCuration	obo:cl.owl	2024-07-12	
FBbt:00001718	retrocerebral complex	semapv:crossSpeciesExactMatch	UBERON:0012325	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	Uberon term commented as “will be ceded to arthropod anatomy ontology”
FBbt:00001722	ring gland	semapv:crossSpeciesExactMatch	UBERON:6001722	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001727	larva	semapv:crossSpeciesExactMatch	UBERON:0002548	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001728	larval tagma	semapv:crossSpeciesExactMatch	UBERON:6001728	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001729	larval segment	semapv:crossSpeciesExactMatch	UBERON:6001729	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001730	larval head	semapv:crossSpeciesExactMatch	UBERON:6001730	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001731	larval ocular segment	semapv:crossSpeciesExactMatch	UBERON:6001731	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001732	larval head segment	semapv:crossSpeciesExactMatch	UBERON:6001732	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001733	larval procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6001733	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001734	larval labral segment	semapv:crossSpeciesExactMatch	UBERON:6001734	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
FBbt:00001735	larval antennal segment	semapv:crossSpeciesExactMatch	UBERON:6001735	semapv:ManualMappingCuration	obo:uberon.owl	2024-07-12	
