def_xrefs	defined_class	div_label	long_sub	segment
PMID:28730682	FBbt:00015068	dorsolateral	FBbt:00007707	FBbt:00001753
PMID:28730682	FBbt:00015069	dorsomedial	FBbt:00007708	FBbt:00001753
PMID:28730682	FBbt:00015070	ventrolateral	FBbt:00007705	FBbt:00001753
PMID:28730682	FBbt:00015071	ventromedial	FBbt:00007706	FBbt:00001753
PMID:28730682	FBbt:00015072	centrolateral	FBbt:00007704	FBbt:00001754
PMID:28730682	FBbt:00015073	centromedial	FBbt:00007703	FBbt:00001754
PMID:28730682	FBbt:00015074	dorsolateral	FBbt:00007707	FBbt:00001754
PMID:28730682	FBbt:00015075	dorsomedial	FBbt:00007708	FBbt:00001754
PMID:28730682	FBbt:00015076	ventrolateral	FBbt:00007705	FBbt:00001754
PMID:28730682	FBbt:00015077	ventromedial	FBbt:00007706	FBbt:00001754
PMID:28730682	FBbt:00015078	centrolateral	FBbt:00007704	FBbt:00001755
PMID:28730682	FBbt:00015079	centromedial	FBbt:00007703	FBbt:00001755
PMID:28730682	FBbt:00015080	dorsolateral	FBbt:00007707	FBbt:00001755
PMID:28730682	FBbt:00015081	dorsomedial	FBbt:00007708	FBbt:00001755
PMID:28730682	FBbt:00015082	ventrolateral	FBbt:00007705	FBbt:00001755
PMID:28730682	FBbt:00015083	ventromedial	FBbt:00007706	FBbt:00001755
