short,type,neurotransmitter,Jeanne_synonym,number,xref,xref_cite,comment
AV7a1,LHON,Acetylcholine | Glutamate,,4.33333333333333,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PD2a1,LHON,,ML9/NA,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 6 neurons that belong to either the PD2a1 or PD2b1 types and some of these are cholinergic (Dolan et al., 2019)."
PD2a2,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PD2a3,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PD2b1,LHON,,ML9/NA,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 6 neurons that belong to either the PD2a1 or PD2b1 types and some of these are cholinergic (Dolan et al., 2019)."
PD2c1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PD2d1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PD2f1,LHON,Glutamate,,5,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PD3a1,LHLN,Glutamate,LHLN6,5,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PD3a2,LHLN,Glutamate,,9.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PD4d1,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PD4e1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV2a1,LHLN,GABA,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 7 neurons that belong to either the PV2a1 or PV2b1 type (Dolan et al., 2019)."
PV2b1,LHN,GABA,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 7 neurons that belong to either the PV2a1 or PV2b1 type (Dolan et al., 2019). Classified as LHLN by Dolan et al. (2019) and LHON by Frechter et al. (2019)."
PV2c1,LHON,Acetylcholine | GABA,,9.33333333333333,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV2d1,LHON,GABA,,3.66666666666667,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV3f1,LHON,Acetylcholine,,5.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PV4a1,LHLN,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 8 neurons that are of PV4a1-5 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4a2,LHLN,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 8 neurons that are of PV4a1-5 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4a3,LHLN,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 8 neurons that are of PV4a1-5 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4a4,LHLN,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 8 neurons that are of PV4a1-5 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4a5,LHLN,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 8 neurons that are of PV4a1-5 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4a6,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV4a7,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV4a8,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV4a9,LHLN,Glutamate,,2.66666666666667,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV4a10,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV4a11,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV4a12,LHLN,,,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 3 neurons that belong to either the PV4a12 or PV4c2 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4b1,LHON,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 11 neurons that belong to either the PV4b1 or PV4b2 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4b2,LHON,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 11 neurons that belong to either the PV4b1 or PV4b2 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4b3,LHON,Glutamate,,1,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PV4c1,LHON,Glutamate,,4.66666666666667,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV4c2,LHLN,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 3 neurons that belong to either the PV4a12 or PV4c2 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4c3,LHON,Glutamate,,7,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PV4d1,LHON,Glutamate,,9,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV4d2,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV4d3,LHON,,,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 4 neurons that belong to either the PV4d3 or PV4d4 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4d4,LHON,,,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 4 neurons that belong to either the PV4d3 or PV4d4 types and some of these are glutamatergic (Dolan et al., 2019)."
PV4f1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV5a1,LHON,Acetylcholine,,11.6666666666667,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV5a2,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV5a3,LHON,Acetylcholine,,7.66666666666667,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV5b1,LHON,Acetylcholine,,11.3333333333333,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV5b2,LHON,Acetylcholine,,8.33333333333333,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV5b3,LHON,Acetylcholine,,7,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV5c1,LHON,Acetylcholine,L15,12,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV5c2,LHON,Acetylcholine,L14,5,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
PV5c3,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV5d1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV5g1,LHON,,,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 5 neurons that belong to either the PV5g1 or PV5g2 types and some of these are cholinergic (Dolan et al., 2019)."
PV5g2,LHON,,,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 5 neurons that belong to either the PV5g1 or PV5g2 types and some of these are cholinergic (Dolan et al., 2019)."
PV5k1,LHON,Glutamate,,3.66666666666667,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PV6a1,LHON,Acetylcholine,,5.66666666666667,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PV6a3,LHON,Acetylcholine,,5,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PV6c1,LHON,Acetylcholine,,1,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
PV9a1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV10c1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV4e1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PV4e2,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
