?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbt_20007203>	"Adult brain-intrinsic neuron with its soma in the central brain, lateral to the lateral horn. It belongs to the SLPa&l1_lateral hemilineage. It has presynapses in the ipsilateral posterior lateral protocerebrum, the ipsilateral inferior posterior slope, the ipsilateral posterior ventrolateral protocerebrum and the ipsilateral lateral accessory lobe. It has postsynapses in the ipsilateral inferior posterior slope and the ipsilateral posterior lateral protocerebrum. Its predicted neurotransmitter is glutamate."	
<http://purl.obolibrary.org/obo/FBbt_20010597>	"Adult intrinsic neuron of the IN20A.22A071 group with ipsilateral arbors in a single VNC neuromere (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 20A.22A hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T1 leg neuropil and sends output to the T1 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 6 of these cells per organism and their somas are found in the prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20010597"
<http://purl.obolibrary.org/obo/FBbt_00051447>	"Immature secondary neuron of the larva that arises from neuroblast DALv2 and is a precursor to an adult ellipsoid body R-neuron (Lovick et al., 2017). It has filopodia in the bulb primordium and in the anterior ellipsoid body primordium (Lovick et al., 2017)."	"VFB:FBbt_00051447"
<http://purl.obolibrary.org/obo/GO_0050951>	"The series of events required for an organism to receive a sensory temperature stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."	
<http://purl.obolibrary.org/obo/GO_0051179>	"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."	
<http://purl.obolibrary.org/obo/FBbt_20007344>	"Adult descending neuron of the DNge032 group, with its soma in the brain, anterior-ventral to the antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the MD3 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia and the ipsilateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20007344"
<http://purl.obolibrary.org/obo/FBbt_20002905>	"Adult brain-intrinsic neuron of the SMP043 group, with its soma in the brain, lateral to the anterior optic tubercle (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum and the ipsilateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 4 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20002905"
<http://purl.obolibrary.org/obo/FBbt_20003242>	"Adult neuron belonging to group 380 of the terra incognita neurons with substantial synapsing in the superior medial protocerebrum (Scheffer et al., 2020). It has postsynaptic sites in the superior medial protocerebrum, inferior neuropils, posterior lateral protocerebrum, superior clamp, ventrolateral neuropils and superior neuropils (Scheffer et al., 2020). It has presynaptic sites in the superior medial protocerebrum and superior neuropils (Scheffer et al., 2020)."	"VFB:FBbt_20003242"
<http://purl.obolibrary.org/obo/FBbt_20010543>	"Adult intrinsic neuron of the IN20A.22A015 group (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 20A.22A hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T1 leg neuropil and sends output to the T1 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 9 of these cells per organism and their somas are found in the prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20010543"
<http://purl.obolibrary.org/obo/FBbt_00049056>	"Larval mushroom body two-step feedback neuron belonging to group 8 that receives synaptic input from FFNs and FBN-14 (Eschbach et al., 2020). There is one bilateral pair of these cells (Eschbach et al., 2020)."	"VFB:FBbt_00049056"
<http://purl.obolibrary.org/obo/FBbt_20004617>	"Adult brain-intrinsic neuron of the CB0924 group, with its soma in the brain, lateral to the anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VLPl2 medial hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral anterior ventrolateral protocerebrum, the ipsilateral inferior clamp and the ipsilateral posterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral inferior clamp, the contralateral inferior clamp, the ipsilateral gorget and the ipsilateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 3 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004617"
<http://purl.obolibrary.org/obo/FBbt_00048658>	"Any larval A03o1 neuron (FBbt:00111250) that has its soma located in some cell body rind of larval abdominal 2 neuromere (FBbt:00051991)."	"VFB:FBbt_00048658"
<http://purl.obolibrary.org/obo/FBbt_20008194>	"Adult descending neuron of the DNfl014 group (Takemura et al., 2024; Marin et al., 2024). It enters the VNC via the cervical connective (Takemura et al., 2024; Marin et al., 2024). It receives input in the brain and sends output to the T1 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20008194"
<http://purl.obolibrary.org/obo/FBbt_00052714>	"Adult fruitless neuron with its cell body in the lateral posterior prothoracic neuromere (Yu et al., 2010). It arborizes bilaterally in the mesothoracic neuromere (Lillvis et al., 2024). There are approximately 7 of these cells per organism and they are cholinergic (Lillvis et al., 2024)."	"VFB:FBbt_00052714"
<http://purl.obolibrary.org/obo/FBbt_00001318>	"Glial cell that acts as a support cell for the embryonic/larval dorsal bipolar neuron."	"VFB:FBbt_00001318"
<http://purl.obolibrary.org/obo/FBbt_00002650>		
<http://purl.obolibrary.org/obo/FBbt_20002583>	"Adult brain-intrinsic neuron of the SLP189 group, with its soma in the brain, lateral to the anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SLPav3 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral anterior ventrolateral protocerebrum and the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum and the ipsilateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). There are approximately 11 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20002583"
<http://purl.obolibrary.org/obo/FBbt_00058241>	"A cardiomyocyte whose contraction contributes to the pumping of the dorsal vessel. These cells make up most of the wall of the dorsal vessel (Lehmacher et al., 2012)."	
<http://purl.obolibrary.org/obo/FBbt_20003404>	"Adult brain-intrinsic neuron of the SMP542 group, with its soma in the brain, dorsal to the antler (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior medial protocerebrum, the ipsilateral inferior clamp, the ipsilateral superior clamp and the ipsilateral crepine (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior medial protocerebrum, the ipsilateral crepine and the ipsilateral superior clamp (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20003404"
<http://purl.obolibrary.org/obo/FBbt_00110568>	"Neurosecretory cell of the adult pars lateralis. It follows the nervus corporis cardiaci II to the ring gland (de Velasco et al., 2007)."	"VFB:FBbt_00110568"
<http://purl.obolibrary.org/obo/FBbt_00059005>	"Any occlusor muscle of adult abdominal spiracle (FBbt:00059065) that is part of some adult abdominal segment 3 (FBbt:00003027) and attached to some adult abdominal spiracle 3 (FBbt:00004815)."	
<http://purl.obolibrary.org/obo/FBbt_20001489>	"Adult brain-intrinsic neuron of the LAL193 group, with its soma in the brain, dorsal to the superior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the DM6 central2 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral lateral accessory lobe and the ipsilateral crepine (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the contralateral vest, the contralateral flange, the contralateral cantle, the contralateral superior posterior slope, the ipsilateral cantle, the ipsilateral superior posterior slope, the ipsilateral vest and the ipsilateral flange (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20001489"
<http://purl.obolibrary.org/obo/FBbt_20008942>	"Adult intrinsic neuron of the IN03B093 group with ipsilateral arbors in multiple VNC neuromeres (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 03B hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the haltere neuropil and sends output to the wing neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 2 of these cells per organism and their somas are found in the abdominal neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20008942"
<http://purl.obolibrary.org/obo/FBbt_20008076>	"Adult ascending neuron of the AN19B076 group with bilateral VNC arbors (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 19B hemilineage (Takemura et al., 2024; Marin et al., 2024). It exits the VNC via the cervical connective (Takemura et al., 2024; Marin et al., 2024). Within the VNC it fasciculates with the intermediate tract of dorsal cervical fasciculus - commissure of fine fibers (Takemura et al., 2024; Marin et al., 2024). It receives input in the haltere neuropil and sends output to the haltere neuropil and neck neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 4 of these cells per organism and their somas are found in the metathoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20008076"
<http://purl.obolibrary.org/obo/FBbt_00110722>	"Region of the haltere disc, surrounding the presumptive pedicel, that develops into the dorsal scabellar campaniform sensillum."	
<http://purl.obolibrary.org/obo/FBbt_20005809>	"Adult brain-intrinsic neuron of the CB2240 group, with its soma in the brain, near to the lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LHa3 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral lateral horn and the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum and the ipsilateral lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 4 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005809"
<http://purl.obolibrary.org/obo/FBbt_20006409>	"Adult brain-intrinsic neuron of the CB2900 group, with its soma in the brain, ventral to the antennal lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the ALv1 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral antennal lobe and the ipsilateral lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 4 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006409"
<http://purl.obolibrary.org/obo/FBbt_20003100>	"Adult brain-intrinsic neuron of the SMP238 group, with its soma in the brain, dorsal to the mushroom body calyx (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior medial protocerebrum, the ipsilateral posterior lateral protocerebrum, the ipsilateral crepine, the ipsilateral superior lateral protocerebrum, the ipsilateral superior clamp and the ipsilateral superior intermediate protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior medial protocerebrum, the ipsilateral crepine and the ipsilateral mushroom body medial lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20003100"
<http://purl.obolibrary.org/obo/FBbt_00110807>	"Region of the metathoracic leg disc that will develop into the metathoracic tarsal segment 5."	
<http://purl.obolibrary.org/obo/FBbt_20006243>	"Adult brain-intrinsic neuron of the CB2716 group, with its soma in the brain, anterior-lateral to the lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SIPa1 ventral hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum and the ipsilateral superior intermediate protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum and the ipsilateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There is approximately one of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006243"
<http://purl.obolibrary.org/obo/FBbt_00048481>	"Any larval posterior dorsal commissure (FBbt:00047122) that is part of some larval abdominal 1 neuromere (FBbt:00111033)."	"VFB:FBbt_00048481"
<http://purl.obolibrary.org/obo/FBbt_00058256>	"Any glial cell (FBbt:00005144) that is part of some peripheral nervous system (FBbt:00005098) and is part of some subperineurial glial sheath (FBbt:00007091)."	"VFB:FBbt_00058256"
<http://purl.obolibrary.org/obo/GO_0051968>	"Any process that activates, maintains or increases the frequency, rate or extent of glutamatergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter glutamate."	
<http://purl.obolibrary.org/obo/FBbt_20009726>	"Adult intrinsic neuron of the IN12B024 group with bilateral arbors in a single VNC neuromere (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 12B hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the leg neuropil and sends output to the leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 18 of these cells per organism and their somas are found in the mesothoracic neuromere, metathoracic neuromere and prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20009726"
<http://purl.obolibrary.org/obo/FBbt_20004629>	"Adult brain-intrinsic neuron of the CB0938 group, with its soma in the brain, lateral to the anterior optic tubercle (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SLPal2 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum and the ipsilateral lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum and the ipsilateral superior intermediate protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 4 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004629"
<http://purl.obolibrary.org/obo/FBbt_00100548>	"DAL neuroblast found flanking the antero-lateral surface of the mushroom body vertical lobe, medial to DALcl1/2, during the larval stage (Pereanu and Hartenstein, 2006; Hartenstein et al., 2015). its primary and secondary lineages each form two tracts, one of which joins the descending central protocerebral tract, and one that joins the frontal median commissure, similar to DALcm2 (Pereanu and Hartenstein, 2006; Wong et al., 2013; Lovick et al., 2013; Hartenstein et al., 2015). In the adult, its secondary neurons arborize in and around the mushroom body in both hemispheres and its ventral projections arborize in the lateral accessory lobe and reach the ventromedial cerebrum (Wong et al., 2013; Lovick et al., 2013; Ito et al., 2013; Yu et al., 2013)."	"VFB:FBbt_00100548"
<http://purl.obolibrary.org/obo/FBbt_20010459>	"Adult intrinsic neuron of the IN19A141 group with ipsilateral arbors in a single VNC neuromere (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 19A hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T1 leg neuropil and sends output to the T1 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There is approximately one of these cells per organism with its soma in the prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20010459"
<http://purl.obolibrary.org/obo/FBbt_00058629>	"Any dorsal acute muscle (FBbt:00058308) that is part of some abdominal segment 5 (FBbt:00000026)."	
<http://purl.obolibrary.org/obo/FBbt_20005671>	"Adult brain-intrinsic neuron of the CB2091 group, with its soma in the brain, posterior to the lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VPNp&v1 posterior hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 5 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005671"
<http://purl.obolibrary.org/obo/FBbt_00002580>	"."	
<http://purl.obolibrary.org/obo/FBbt_00049232>	"Longitudinal (anterior-posterior) fascicle found on the ventral boundary of the inferior protocerebrum that contains fibers of numerous lineages (Pereanu et al., 2010). Its ventral part is formed by BLVp1/2 lineages, its dorsomedial part is formed CP2/3 lineages and its dorsolateral part is formed DPLpv (Lovick et al., 2013; Hartenstein et al., 2015). In the adult, there is also an external component, formed by BLP1/2 secondary lineages (Lovick et al., 2013)."	"VFB:FBbt_00049232"
<http://purl.obolibrary.org/obo/FBbt_20003703>	"Adult brain-intrinsic neuron of the WED153 group, with its soma in the brain, posterior to the inferior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the DM5 ventral hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral lateral accessory lobe and the ipsilateral inferior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral inferior posterior slope, the ipsilateral lateral accessory lobe and the ipsilateral wedge (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 6 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20003703"
<http://purl.obolibrary.org/obo/FBbt_00002440>	"Any larval abdominal lateral multidendritic neuron ldaA (FBbt:00002434) that has its soma located in some larval abdominal segment 6 (FBbt:00001753)."	"VFB:FBbt_00002440"
<http://purl.obolibrary.org/obo/FBbt_20005825>	"Adult brain-intrinsic neuron of the CB2257 group, with its soma in the brain, anterior to the accessory medulla (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VLPl&p2 lateral hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005825"
<http://purl.obolibrary.org/obo/FBbt_00047732>	"Larval down and back neuron of abdominal neuromere 6. it is a somatosensory interneuron that arborizes in the nociceptive neuropil and receives input from class IV dendritic arborizing neurons. From a laterally-located cell body, it projects ventromedially to the nociceptive neuropil and arborizes profusely. A single process also projects back laterally and dorsally towards the cell body. It is involved in activating bending and rolling behavior in response to nociceptive stimuli, such as noxious heat."	"VFB:FBbt_00047732"
<http://purl.obolibrary.org/obo/FBbt_20002009>	"Adult neuron belonging to group 254 of the terra incognita neurons with substantial synapsing in the posterior slope (Scheffer et al., 2020). It has postsynaptic sites in the ventromedial neuropils, inferior neuropils, posterior lateral protocerebrum, ventrolateral neuropils and superior posterior slope (Scheffer et al., 2020). It has presynaptic sites in the ventromedial neuropils and superior posterior slope (Scheffer et al., 2020)."	"VFB:FBbt_20002009"
<http://purl.obolibrary.org/obo/FBbt_00111461>	"Adult protocerebral bridge 1 glomerulus-fan-shaped body-ventral gall surround (PFGs) neuron that targets protocerebral bridge glomerulus 7. It targets an ipsilateral fan-shaped body (FB) column, which is also targeted by the contralateral PFGs neuron of PB glomerulus 3 (Lin et al., 2013; Hulse et al., 2021). It projects to the contralateral ventral gall surround (Lin et al., 2013; Hulse et al., 2021)."	"VFB:FBbt_00111461"
<http://purl.obolibrary.org/obo/FBbt_20008579>	"Adult intrinsic neuron of the IN01A039 group with contralateral arbors in a single VNC neuromere (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 01A hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the leg neuropil and sends output to the leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 6 of these cells per organism and their somas are found in the mesothoracic neuromere, metathoracic neuromere and prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20008579"
<http://purl.obolibrary.org/obo/FBbt_00053191>	"Dorsal neck muscle that has a transverse orientation, connecting the medial part of the cervical sclerite laterally to the pronotal cuticle (Strausfeld et al., 1987; Gorko et al., 2024)."	
<http://purl.obolibrary.org/obo/FBbt_00052681>	"Rear part of the orbital ridge (Fenk et al., 2022). It is separated from the front part of the orbital ridge by discontinuities at the dorsal and ventral poles (Fenk et al., 2022)."	
